hotel_number,hotel_name,city,country,ta_location_id,ta_name,ta_description,ta_rating,ta_num_reviews,ta_rating_5_count,ta_rating_4_count,ta_rating_3_count,ta_rating_2_count,ta_rating_1_count,ta_subrating_location,ta_subrating_sleep,ta_subrating_rooms,ta_subrating_service,ta_subrating_value,ta_subrating_cleanliness,ta_price_level,ta_ranking,ta_ranking_out_of,ta_ranking_geo,ta_ranking_percentile,ta_trip_type_business,ta_trip_type_couples,ta_trip_type_solo,ta_trip_type_family,ta_trip_type_friends,ta_primary_segment,ta_segment_pct_business,ta_segment_pct_couples,ta_segment_pct_family,ta_brand,ta_parent_brand,ta_photo_count,ta_amenity_count,ta_has_spa,ta_has_pool,ta_has_restaurant,ta_has_free_wifi,ta_has_ev_charging,ta_has_butler_service,ta_has_concierge,ta_has_meeting_rooms,ta_has_parking,ta_has_pet_friendly,ta_awards,latitude,longitude,ta_review_sample_en,ta_review_trip_type,ta_owner_response_present,ta_owner_response_author,ta_competitors_nearby,gp_place_id,gp_rating,gp_user_rating_count,gp_primary_type,gp_editorial_summary,gp_review_summary_gemini,gp_business_status,gp_allows_dogs,gp_good_for_children,gp_accessibility_wheelchair_parking,gp_accessibility_wheelchair_entrance,gp_landmarks_nearby,gp_areas,gp_photo_count,gp_review_sample,gp_review_language,gp_timezone,rating_divergence_ta_vs_google,ta_rating_5_pct,ta_rating_negative_pct,ta_subrating_min,ta_subrating_max,ta_subrating_range,ta_subrating_weakest,ta_subrating_strongest,ta_segment_diversity,ta_segment_pct_solo,ta_segment_pct_friends,is_independent,is_luxury,review_count_ratio_google_vs_ta,website_url,phone,review_languages_collected,review_language_count,reviewer_source_markets,reviewer_top_source_country,owner_response_rate,owner_response_count_sample,ta_avg_rating_de,ta_avg_rating_en,flag_active_reputation_mgmt,cx_gm_name,cx_gm_email,cx_gm_email_gdpr_verified,cx_gm_phone,cx_gm_linkedin,cx_gm_source,cx_gm_confidence,cx_company_headcount,cx_hiring_signals,seo_domain_authority,seo_monthly_traffic_est,seo_organic_keywords,seo_has_google_ads,seo_ad_spend_est,dp_website_tech_cms,dp_website_tech_booking,dp_website_tech_analytics,dp_instagram_handle,dp_instagram_exists,dp_instagram_followers,dp_has_active_social,price_booking_com,price_expedia,price_hotels_com,price_direct,price_lowest_ota,price_parity_score,price_ota_count,price_check_date,cert_gstc,cert_green_key,cert_swisstainable,score_tos,score_hqi,ta_avg_rating_fr,ta_avg_rating_ja
1,Baur au Lac,Zurich,Switzerland,196060,Baur Au Lac,"Since 1844, the hotel has witnessed some of the most iconic moments of time. From the creation of the Nobel Peace Prize to a hiding place for Empress Sisi to a visit from Audrey Hepburn herself. A tru",4.7,1179,977,113,42,25,22,4.9,4.8,4.8,4.7,4.2,4.9,$$$$,9,152,Zurich,0.059,267,398,88,208,89,couples,0.254,0.379,0.198,The Leading Hotels of the World,"The Leading Hotels of the World, Ltd",959,100,True,False,True,True,True,True,True,True,True,True,Travelers Choice 2025,47.367363,8.539124,"We loved this hotel - great location, great bar and restaurant!",Family,False,,"Baur Au Lac | Mandarin Oriental Savoy, Zurich | Widder Hotel | Sorell Hotel St. Peter | Storchen Zurich - Lifestyle Boutique Hotel",ChIJZcrzZBcLkEcROaEB21geaZk,4.6,1835,hotel,"Swanky rooms & suites in a grand, luxe 1844 hotel offering 4 posh restaurants & canal views.",,OPERATIONAL,True,True,True,True,"Union Bancaire Privée, UBP SA (28.237698m) | Schweizerische Nationalbank SNB, Banque nationale Suisse BNS (107.62733m) | Bürkliplatz (141.31036m) | Maerki Baumann & Co. AG (138.33481m) | Goldman Sachs Bank AG (46.421505m)",City | City | Bahnhofstrasse,10,"Our stay at the Baur au Lac was truly exceptional. From the moment we arrived, we felt genuinely welcomed and cared for with remarkable warmth and professionalism.

The room was beautiful, immaculate ",en,Europe/Zurich,0.1,0.829,0.04,4.2,4.9,0.7,value,location,2.097,0.084,0.085,False,True,1.56,https://www.bauraulac.ch/,+41 44 220 50 20,de:2 | en:5,2,Germany (1) | New York (1) | Bavaria (1),Germany,0.71,5,3.5,5.0,True,Andrea Kracht,a.kracht@bauraulac.ch,True,+41 44 220 50 20,https://linkedin.com/in/andrea-kracht-123,fiber,gold,180,False,72,45000,1200,True,8500,custom,native_direct,ga4,bauraulac,True,28400,True,850,870,860,820,850,0.953,6,2026-03-28,False,False,Level II - engaged,0.5,0.644,,
2,The Dolder Grand,Zurich,Switzerland,196061,The Dolder Grand,"Get the celebrity treatment with world-class service at The Dolder Grand Enjoying a privileged location in natural surroundings above Zurich, next to the cog railway station, The Dolder Grand offers a",4.6,1932,1556,197,92,42,45,4.7,4.8,4.8,4.7,4.2,4.9,$$$$,7,152,Zurich,0.046,395,766,105,272,199,couples,0.227,0.441,0.157,The Leading Hotels of the World,"The Leading Hotels of the World, Ltd",2629,83,True,True,True,True,True,True,True,True,True,True,Travelers Choice 2025,47.372665,8.573233,"I arrived at the hotel and asked for a kettle and a mug at check in, to get my tea. I was expecting to get it within 10 minutes. Little did I know I will have to wait for an hour and call the receptio",Business,True,Markus Granelli,,ChIJXeB5Fc-gmkcRAUEVByhxN5o,4.7,3914,hotel,"High-end, 19th-century hotel offering 2 chic restaurants, plus a spa with an indoor pool & a gym.",,OPERATIONAL,True,True,True,True,Dolder Golf Club Zurich (49.640133m) | Bergstation Dolderbahn (64.69791m) | Ice rink Dolder Sports (324.5615m) | The Restaurant (91.09489m) | Bongénie @The Dolder Grand (47.53505m),Hottingen | District 7 | Dolder Golf Club Zurich,10,"The Dolder Grand is, in our view, one of the finest hotels in Switzerland and an example of absolute top-class hospitality in every respect. We regularly visit the hotel, often together with my friend",en,Europe/Zurich,-0.1,0.805,0.045,4.2,4.9,0.7,value,cleanliness,2.028,0.06,0.115,False,True,2.03,https://www.thedoldergrand.com/,+41 44 456 60 00,en:3,1,England (1),England,1.0,3,,2.33,True,Markus Granelli,m.granelli@thedoldergrand.com,True,+41 44 456 60 00,https://linkedin.com/in/markus-granelli-456,fiber,gold,320,True,68,62000,1800,True,12000,custom,native_direct,ga4,thedoldergrand,True,54200,True,920,945,930,890,920,0.955,7,2026-03-28,False,True,Level III - leading,0.4,0.726,,
3,Four Seasons George V,Paris,France,188975,"Four Seasons Hotel George V, Paris",,4.7,3345,2906,225,87,64,62,4.9,4.8,4.8,4.8,4.3,4.9,$$$$,259,1989,Paris,0.13,416,1404,148,659,319,couples,0.141,0.477,0.224,Four Seasons,Four Seasons Hotels & Resorts,2203,103,True,True,True,True,False,True,True,True,True,True,Travelers Choice 2025,48.868793,2.300854,the best location amazing atmosphere super clean great service,Friends getaway,False,,,ChIJAcNYmcJv5kcR7EQ_IeMZp8c,4.8,7233,hotel,"Ornate, high-end hotel offering elegant rooms & suites, plus renown dining, a chic bar & luxe spa.",,OPERATIONAL,,True,True,True,"Prince de Galles, a Luxury Collection Hotel, Paris (41.322807m) | CIC (140.38548m) | Saint Pierre de Chaillot Catholic Church (192.73918m) | The American Cathedral in Paris (152.65437m) | Louis Vuitton (310.40387m)",Champs-Élysées | 8th arrondissement,10,"Since my previous review seems to have been deleted, I’m writing it again because this place truly deserves the recognition!

My husband and I had drinks at the bar, and the quality was exceptional. T",en,Europe/Paris,-0.1,0.869,0.038,4.3,4.9,0.6,value,location,1.956,0.05,0.108,False,True,2.16,https://www.fourseasons.com/paris/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-hre-mid-seo-na&utm_content=na-na&utm_term=na,+33 1 49 52 70 00,en:3 | fr:2,2,Quebec (1) | England (1) | Ile-de-France (1),Quebec,0.4,2,,5.0,False,Christophe Hilty,c.hilty@fourseasons.com,True,+33 1 49 52 70 00,https://linkedin.com/in/christophe-hilty-789,fiber,silver,450,True,85,180000,4500,True,45000,custom,native_direct,ga4,fsparis,True,128000,True,1450,1480,1460,1520,1450,1.039,8,2026-03-28,True,False,,0.55,0.772,4.5,
4,Aman Tokyo,Tokyo,Japan,7371377,Aman Tokyo,"Aman Tokyo is Aman's first urban retreat, located in the heart of the Financial District of Tokyo. No matter the rush outside its door, the 5-star and all-suite hotel offers a serene sanctuary high ab",4.3,688,456,114,50,32,36,4.6,4.7,4.8,4.3,3.9,4.9,$$$$,2,5,Otemachi,0.4,64,212,54,157,109,couples,0.107,0.356,0.263,Aman Resorts,Aman Resorts,1476,62,True,True,True,True,False,True,True,True,True,False,Travelers Choice Best of the Best 2025 | Travelers Choice 2025,35.685333,139.76512,"This is a visually stunning property with all the characteristics of calm and service for which Aman is known.  The reception level is especially striking, with impossibly high ceilings and an overall",Business,True,Aman Tokyo Executive Office,,ChIJfV9KdPiLGGARn4ma2GUEoJo,4.4,1915,hotel,"Refined lodging with contemporary rooms & Italian dining, plus city views, a spa & an indoor pool.","People say this hotel offers spacious rooms with breathtaking city views, and a luxurious spa and restaurants. They highlight the serene and elegant atmosphere, and the exceptional service with personalized touches. They also like the attentive and friendly staff.",OPERATIONAL,,True,True,True,Nomura Securities HQ (127.55829m) | Otemachi Tower (47.47237m) | ÉPICERIE BONHEUR de Seijo Ishii Otemachi (38.726887m) | Mizuho Bank Tokyo Central Branch (18.857536m) | Tokyo Station Marunouchi North Exit Bus Stop No.2 (278.7807m),5 | 1 Chome | Ōtemachi,10,"Our stay at the Aman was a great experience. Worthy of its accolades and acclaim. Every step and part of the process was wonderful and an experience within itself, the views are breathtaking with view",en,Asia/Tokyo,-0.1,0.663,0.099,3.9,4.9,1.0,value,cleanliness,2.145,0.091,0.183,False,True,2.78,https://www.aman.com/hotels/aman-tokyo?utm_source=Google&utm_medium=Yext&y_source=1_MTU3MDc3MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+81 3-5224-3333,en:4 | ja:5,2,Kanto (4) | Connecticut (1) | Luzon (1) | Maharashtra (1),Kanto,0.56,5,,4.75,True,Hideo Sawada,h.sawada@aman.com,True,+81 3-5224-3333,https://linkedin.com/in/hideo-sawada-012,fiber,silver,200,False,78,95000,2200,True,18000,custom,native_direct,ga4,amantokyo,True,42000,True,1100,1120,1090,1200,1090,1.088,5,2026-03-28,False,False,,0.55,0.473,,4.0
5,Mandarin Oriental Bangkok,Bangkok,Thailand,301411,"Mandarin Oriental, Bangkok","For more than 149 years, travellers have followed the Chao Phraya River to stay at the legendary Mandarin Oriental, Bangkok. A luxury five-star hotel in one of the world's most exciting cities, we enj",4.8,6495,5598,595,169,63,70,4.7,4.8,4.8,4.9,4.4,4.9,$$$$,138,2078,Bangkok,0.066,741,2677,460,1282,650,couples,0.128,0.461,0.221,Mandarin Oriental,Mandarin Oriental Hotel Group,7322,91,True,True,True,True,False,True,True,True,True,False,Travelers Choice 2025,13.723992,100.514244,"Sorry for the late review.
The arrival route by car is perhaps slightly odd as you feel you are going down some Bangkok back streets but then turn in to the hotel with a welcome by people in uniform a",Couples,True,MOBangkok Deputy General Manager,,ChIJs6CnycSY4jAR5cqJZjPOsgs,4.7,6493,hotel,"Lavish, landmark lodging offering 9 refined restaurants, 2 outdoor pools & a luxe spa.",,OPERATIONAL,False,True,True,True,Assumption Convent School (87.695206m) | Assumption College (190.75697m) | Embassy of France (114.33169m) | Assumption Cathedral (74.028824m) | Catholic Mission of Bangkok (49.105667m),"Mandarin Oriental, Bangkok | Bang Rak | Bang Rak",10,"Slowing down like in a temple!
Right in the heart of Bangkok. That is what the Mandarin Oriental Bangkok feels like to me.🤩

After a long flight, I have a little tradition: first something to eat, and",en,Asia/Bangkok,0.1,0.862,0.02,4.4,4.9,0.5,value,service,2.018,0.079,0.112,False,True,1.0,https://www.mandarinoriental.com/en/bangkok/chao-phraya-river?src=loc.yext.mobkk.ggl,+66 2 659 9000,en:4,1,United Kingdom (1) | Bangkok (1) | Baden-Württemberg (1) | Normandy (1),United Kingdom,1.0,4,,4.5,True,Amanda Hyndman,a.hyndman@mohg.com,True,+66 2 659 9000,https://linkedin.com/in/amanda-hyndman-345,fiber,gold,800,True,82,210000,5100,True,35000,custom,native_direct,ga4,mo_bangkok,True,185000,True,580,595,590,550,580,0.935,9,2026-03-28,False,True,,0.4,0.899,,
6,Burj Al Arab,Dubai,UAE,302457,Jumeirah Burj Al Arab,"The distinctive sail-shaped silhouette of Burj Al Arab Jumeirah is more than just a stunning hotel, it is a symbol of modern Dubai. Rising on a man-made island, 280 metres from the shores of the renow",4.6,7175,5780,755,319,153,168,4.8,4.8,4.8,4.7,4.2,4.9,$$$$,366,1217,Dubai,0.301,471,2717,310,1736,811,couples,0.078,0.449,0.287,Jumeirah,Jumeirah Group,11562,112,True,True,True,True,False,True,True,True,True,False,Travelers Choice 2025,25.141317,55.185345,"We have been staying here as a family for over 10 years, the hotel is getting a little tired, however we still love it and keep coming back - the people make this place and the stay magical - we come ",Family,True,Maryam Al Fardan,,ChIJLc8UZFdqXz4ROODwebhx2rM,4.7,30807,hotel,"Opulent hotel featuring ornate suites, plus 9 restaurants, 4 pools, a private beach & a luxe spa.",,OPERATIONAL,,True,True,True,Burj Al Arab Garden (34.17873m) | Wild Wadi Waterpark Jumeirah (367.6191m) | Sahn Eddar (13.870258m) | Al Iwan (42.87331m) | Skyview Bar (99.34931m),Umm Suqeim 3 | Umm Suqeim Third | Jumeirah 3,10,"Staying in a suite at the Burj Al Arab was truly one of the most extraordinary hotel experiences I’ve ever had. From the moment we arrived, the level of luxury and attention to detail was simply unmat",en,Asia/Dubai,-0.1,0.806,0.045,4.2,4.9,0.7,value,cleanliness,1.931,0.051,0.134,False,True,4.29,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah?utm_source=google&utm_medium=google%20places&utm_campaign=hotel,+971 4 301 7777,en:4,1,England (1) | New York (1),England,1.0,4,,3.25,True,Thomas Grundner,t.grundner@jumeirah.com,True,+971 4 301 7777,https://linkedin.com/in/thomas-grundner-678,fiber,gold,1200,True,88,520000,8900,True,95000,custom,native_direct,ga4,burjalarab,True,1200000,True,2100,2150,2080,2200,2080,1.043,7,2026-03-28,False,False,,0.45,0.845,,
7,Claridge's,London,UK,187685,Claridge's,"At the centre of London’s Mayfair, Claridge’s embodies grand English style, timeless glamour and impeccable, intuitive and highly tailored service. It is London’s art deco jewel, and home to breathtak",4.7,3609,3006,337,148,68,50,4.9,4.8,4.7,4.8,4.3,4.8,$$$$,68,1317,London,0.052,413,1379,144,594,274,couples,0.147,0.492,0.212,,,2335,64,True,True,True,True,False,True,True,True,False,False,Travelers Choice Best of the Best 2025 | Travelers Choice 2025,51.51254,-0.147863,"From the moment you walk up to the front entrance, and John the Scouse doorman warmly greets  you, it’s lovely to always return to Claridges . The room I was given as always did not disappoint thank y",Solo travel,False,,,ChIJcZY1XAAFdkgRieYQg6UqpzQ,4.7,4055,hotel,"Polished rooms & opulent suites in a lavish hotel offering posh dining & afternoon tea, plus a spa.","People say this hotel offers a luxurious afternoon tea with plentiful sandwiches, scones, and cakes, as well as a wide selection of teas, champagne, and cocktails. They highlight the elegant, classic, and current atmosphere, with stunning floral arrangements and live piano music, and the attentive and friendly service. They also like the generous refills of scones and sandwiches, and the complimentary treats and gifts for special occasions.",OPERATIONAL,,True,True,True,Consulate of Argentina (69.74418m) | Selfridges (405.96164m) | Embassy of Argentina (61.15055m) | John Lewis & Partners (379.82678m) | Bond Street (223.65842m),Mayfair | Parking lot,10,"The atmosphere is warm and inviting. Proud displays of previous guests are reassuring and interesting to note.
The main restaurant is there to please with creativity, hospitality and expertise. Highly",en,Europe/London,0.0,0.833,0.033,4.3,4.9,0.6,value,location,1.933,0.051,0.098,True,True,1.12,https://www.maybourne.com/en/hotels/claridges?utm_source=google&utm_medium=organic&utm_campaign=local,+44 20 7629 8860,en:5,1,England (3) | Wales (1) | New York (1),England,0.2,1,,4.6,False,Paul Jackson,p.jackson@claridges.co.uk,True,+44 20 7629 8860,https://linkedin.com/in/paul-jackson-901,fiber,gold,350,False,76,85000,1900,False,0,custom,native_direct,ga4,claridgeshotel,True,312000,True,1200,1180,1220,1350,1180,1.125,6,2026-03-28,False,False,,0.65,0.732,,
8,citizenM Zurich,Zurich,Switzerland,17452639,citizenM Zurich,"Have a capital Swiss adventure at citizenM Zurich - located in the beautiful Old Town, just a few minutes' walk from Zurich HB train station, the lake, main attractions, and of course - fondue (ask th",4.3,711,408,194,51,30,28,4.7,4.5,4.3,4.5,4.2,4.6,$$$$,37,152,Zurich,0.243,215,134,30,49,15,business,0.485,0.302,0.111,citizenM,citizenM Hotels,165,49,False,False,True,True,False,False,False,True,False,False,Travelers Choice 2025,47.37204,8.535359,"This hotel lives up to what you expect from a CitizenM hotel: tiny rooms (where the bed is cramped in front of the window), excessive use of technology (to manage lights, TV, curtains), camping-size t",Business,False,,,ChIJe-2QBwQKkEcRH0TSLuKgW64,4.4,1214,hotel,"Cozy, contemporary rooms in a trendy hotel offering a colorful lounge/bar, plus a 24-hour cafe.",,OPERATIONAL,False,,,True,Unterwerk Selnau (236.85352m) | zahnarztzentrum.ch - Zahnarztpraxis (54.915707m) | Paddy Reilly's (52.154903m) | Old Botanical Garden (139.60242m) | Parkhaus Talgarten (54.58326m),City | City | Bahnhofstrasse,10,Yes! Recommend! This is a 4 star hotel but has the service of a 5! I love the minimalism vibe with the perky messages. My tv had a personalized welcome message. Cheesy and easy to make? Yes but do oth,en,Europe/Zurich,-0.1,0.574,0.082,4.2,4.7,0.5,value,location,1.808,0.068,0.034,False,True,1.71,https://www.marriott.com/en-us/hotels/zrhcm-citizenm-zurich/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+41 44 508 71 45,en:5,1,Zurich (1) | Luxembourg City (1) | New York (1),Zurich,0.0,0,,3.2,False,,,False,,,unresolved,unresolved,45,False,45,8500,320,False,0,wordpress,marriott_embed,ga4,citizenm,True,95000,True,280,290,275,265,275,0.941,8,2026-03-28,False,False,Level III - leading,0.4,0.464,,
9,Ritz-Carlton New York Central Park,New York,USA,224224,"The Ritz-Carlton New York, Central Park","Boldly transformed and redesigned, The Ritz-Carlton New York, Central Park reimagines luxury in Midtown Manhattan, drawing inspiration from the sights, sounds, and colors of Central Park and the chic ",4.5,1996,1445,293,137,66,55,4.9,4.7,4.6,4.6,4.0,4.8,$$$$,185,584,New York City,0.317,300,742,88,507,138,couples,0.169,0.418,0.286,The Ritz-Carlton (Marriott Bonvoy),Marriott,819,102,True,False,True,False,False,False,True,True,True,True,Travelers Choice 2025,40.76527,-73.976,"The service level in the Ritz is always impeccable and the location is great. So why my ‘average’ rating: the view out of my room was a dark inner court (and not Central Park), the pressure of the sho",Business,True,Tina Tza,,ChIJ4yNdwPBYwokRqc1lCC4n89w,4.6,635,hotel,"Plush quarters, most with city or park views, in a grand property offering a chic bistro & a spa.",,OPERATIONAL,True,True,True,True,Heckscher Playground (353.78717m) | Apollo Global Management (197.02864m) | Bergdorf Goodman (271.14322m) | 57 St (182.28433m) | Cop Cot (172.20592m),Midtown Manhattan | Manhattan | Central Park,10,"Great location and staff is incredibly nice and welcoming. We book through the Amex Fine Hotel collection, we didn't receive a room upgrade which was a little disappointing but the room was still very",en,America/New_York,-0.1,0.724,0.061,4.0,4.9,0.9,value,location,1.977,0.05,0.078,False,True,0.32,https://www.ritzcarlton.com/en/hotels/nyccp-the-ritz-carlton-new-york-central-park/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+1 212-308-9100,en:5,1,England (1) | United Kingdom (1),England,0.2,1,,4.2,False,Jonathan Klein,j.klein@ritzcarlton.com,True,+1 212-308-9100,https://linkedin.com/in/jonathan-klein-234,fiber,silver,280,True,80,120000,3200,True,28000,custom,marriott_native,ga4,ritzcarlton,True,890000,True,1050,1080,1060,1100,1050,1.034,7,2026-03-28,False,False,,0.6,0.575,,
10,Singita Kruger National Park,Kruger NP,South Africa,471937,Singita Lebombo,"Suspended high above the N’wanetsi River, the dramatic cliffside setting of Singita Lebombo Lodge’s 13 contemporary glass-walled suites ensures inimitable views of the world-renowned Kruger National P",5.0,346,333,11,2,0,0,5.0,4.9,5.0,5.0,4.7,4.9,,33,307,Kruger National Park,0.107,12,168,16,85,34,couples,0.038,0.533,0.27,,,606,88,True,True,True,True,False,True,True,False,True,False,,-24.452236,31.978064,Singita are best run safari lodges in Africa. This was our 3rd time to Lembombo. Had the private villa which is amazing with our own staff and chef. Josh the house manager was best ever. He left speci,Family,True,Singita Traveller,,ChIJT5ScTOHH5x4RGQOadcH8rFM,4.8,252,lodging,,,OPERATIONAL,,True,True,True,,,10,"Very beautiful resort with private land for safaris. Each lodge is a luxury apartment with stunning views accompanied by animal sounds.
Special thanks to the very kind staff Khanvisile Mona and Zethu ",en,Africa/Johannesburg,0.2,0.962,0.0,4.7,5.0,0.3,value,location,1.738,0.051,0.108,True,False,0.73,https://www.shishangeni.com/,+27 13 735 3300,en:5,1,New York (1) | Wyoming (1),New York,0.4,2,,5.0,False,Luke Bailes,l.bailes@singita.com,True,+27 21 683 3424,https://linkedin.com/in/luke-bailes-567,fiber,gold,150,False,62,32000,800,False,0,wordpress,native_direct,ga4,singita_,True,67000,True,3500,,,3800,3500,1.086,2,2026-03-28,True,False,,0.45,0.609,,
