rank,hotel_slug,hotel_name,location,stars,rooms,adr_chf,segment,revenue_proxy_chf,priority_score,buy_likelihood_3k,buy_likelihood_5k,delay_likelihood_12m,recommended_price_band,primary_wedge,primary_blocker,deal_killer,deal_killer_raw,outreach_angle,gm_confidence,cm_confidence,disagreements
1,hotel-hotel-schweizerhof-zuerich,Hotel Schweizerhof Zürich,Zürich,5,95,784.03,luxury,18486643,51,51,25,66,2000_3000,"Low‑risk, Swiss‑hosted 90‑day pilot focused on direct share shift and clearer weekly decisions (no auto‑pricing), mapped to replacing agency/content and overlapping reputation spend; backed by Swiss luxury references.","Owner/Revenue risk aversion to algorithmic pricing without strong Swiss luxury references and performance assurances, plus overlap/term constraints with existing vendors and IT/legal review time.",No PMS/CRM integration,No reliable PMS/booking‑engine integration or failure to meet Swiss GDPR/data‑residency requirements.,"Lead with a Swiss‑hosted, reference‑backed 90‑day pilot that integrates to PMS/booking engine, focuses on decision support and multilingual content (DE/EN/IT) before any auto‑pricing, and uses a jointly defined attribution model for +5% direct revenue. Position budget as a reallocation from agency/reputation tools; provide legal/GDPR docs up front and schedule go‑live post peak season to fit fiscal timing.",high,high,"deal_killer: GM=""No reliable PMS/booking‑engine integration or failure to meet Swiss GDPR/data‑residency requirements."" vs CM=""No credible Swiss luxury references proving measurable direct-booking uplift and/or inability to offer Swiss/GDPR-compliant hosting with reliable PMS integration."""
2,hotel-hotel-suvretta-house,Hotel Suvretta House,St. Moritz,5,176,779.95,luxury,34070712,51,50,24,65,2000_3000,"A Swiss‑hosted, PMS‑integrated 90‑day pilot during a shoulder season that consolidates compset alerts + review intelligence into a single weekly action plan, proving reduced OTA commission and ~+5% direct revenue while replacing fragmented agency/reporting time.","Owner/CFO reluctance to approve a recurring CHF 5k SaaS without Swiss luxury references, firm SLAs, and clear attribution; integration/legal reviews can further stall timelines.",No PMS/CRM integration,No reliable PMS/booking‑engine integration or inability to demonstrate measurable direct‑revenue uplift in the agreed pilot window.,"Lead with a live dashboard demo and ROI calculator using their public rates/OTA mix. Propose a Swiss‑hosted, white‑glove 90‑day pilot at ~CHF 3k with PMS/BE integration, no guest‑facing automation without brand sign‑off, and two relevant Swiss‑luxury references. Time kickoff for shoulder season and provide a board‑ready one‑pager (objectives, SLA, data controls, success metrics). Offer monthly opt‑out post‑pilot or annual discount on success.",high,high,"deal_killer: GM=""No reliable PMS/booking‑engine integration or inability to demonstrate measurable direct‑revenue uplift in the agreed pilot window."" vs CM=""No credible PMS/CRM integration path or inability to guarantee Swiss/GDPR hosting and data privacy."""
3,hotel-victoria-jungfrau-grand-hotel-spa,Victoria-Jungfrau Grand Hotel & Spa,Interlaken,5,216,725.35,luxury,38886884,51,48,26,62,2000_3000,"Turn scattered data into a single weekly commercial action plan that demonstrably lifts direct revenue, while reducing agency/content spend and enhancing compset intelligence—proven via a de-risked 90-day pilot.","Procurement/IT/legal friction around data security, Swiss hosting, and PMS/CRS integrations, plus perceived overlap with the RMS/reputation stack.",No PMS/CRM integration,No reliable integration with PMS/CRS/booking engine (inability to ingest/export transactional data).,"Lead with a de-risked 90-day pilot scheduled for a shoulder period. Bring a complete security/DPA pack (Swiss/EU GDPR, Swiss hosting option), a clear integration plan for the PMS/CRS and review sources, and 2–3 Swiss luxury references. Position the platform as a complement to the RMS: it operationalizes weekly actions and content in DE/EN/FR, not another dashboard. Show an ROI calculator tied to direct-room revenue and a plan to offset fees by trimming agency/content and redundant tooling. Offer white-glove onboarding, named CSM, monthly opt-out after pilot, and explicit success milestones (≥5% direct revenue uplift or agreed proxy KPIs).",high,high,"deal_killer: GM=""No reliable integration with PMS/CRS/booking engine (inability to ingest/export transactional data)."" vs CM=""No viable two-way integration with PMS/CRS/booking engine for reliable signals and attribution."""
4,hotel-hotel-bellevue-palace,Hotel Bellevue Palace,Bern,5,126,433.58,luxury,13559434,50,46,28,65,2000_3000,"A Swiss-hosted, integrated 90-day pilot that converts scattered data into one weekly commercial action list with measurable direct-booking uplift and luxury-Swiss references.","Procurement/privacy hurdles (CFO, legal/IT) plus the need for robust PMS/CRS integration and rigorous attribution; modest uplifts risk being disputed as seasonality or mix effects.",No PMS/CRM integration,no_pms_integration,"Lead with a Swiss-hosted, 90-day pilot focused on measurable direct-booking uplift and clear weekly ‘do-this-now’ actions. Commit to PMS/CRS + booking-engine integration and an attribution plan that controls for seasonality (e.g., baseline periods/holdouts). Provide 2–3 Swiss luxury references, a DPA with Swiss hosting, and a light-touch onboarding plan capped at ~10 hotel IT hours. Include an ROI calculator, monthly opt-out during pilot, and an option for performance-linked pricing post-pilot. Target kickoff in a shoulder period to ease resourcing and maximize signal clarity; involve GM, DoSM, Revenue, and CFO from day one.",high,medium,"deal_killer: GM=""no_pms_integration"" vs CM=""No reliable PMS/CRM integration or inability to guarantee Swiss/GDPR-compliant data hosting."""
5,hotel-hotel-schweizerhof-bern-spa,Hotel Schweizerhof Bern & Spa,Bern,5,99,433.58,luxury,10653841,50,47,25,65,2000_3000,Replace 2–3 point tools and agency hours with one Swiss-hosted platform delivering a weekly revenue playbook tied to compset signals; prove impact via a 90-day pilot with PMS/BE integration and direct-channel KPIs.,Finance owner resistance without rock-solid attribution and the risk of slow/expensive PMS-Booking Engine integration and legal/DPA review.,No PMS/CRM integration,No reliable PMS/CRM/booking-engine integration to enable auditable revenue attribution.,"Lead with an attribution-first 90-day pilot: fixed-fee PMS/BE integration, Swiss-hosted DPA pack, and two Swiss luxury references. Commit to a CFO-verified KPI (+5% direct revenue or +3pp direct share) with weekly action cards and a clear exit if KPIs aren’t met. Include an upfront 2-week diagnostic to baseline direct funnel (GA4/BE logs), a fixed integration SOW, and monthly opt-out until ROI is proven. Position budget at CHF 2–3k annually post-pilot; defer any 5k tier until multi-property scope or expanded modules (spa/M&E) are in play.",medium,medium,"deal_killer: GM=""No reliable PMS/CRM/booking-engine integration to enable auditable revenue attribution."" vs CM=""No reliable PMS/booking engine integration and inability to attribute direct-channel impact (and/or lack of Swiss/GDPR-compliant hosting)."""
6,hotel-alpengold-davos,AlpenGold Davos,Davos Dorf,5,216,348,luxury,18656698,49,47,22,65,1000_2000,"Calendar-aware 60-day pilot proving a 5% direct revenue uplift with a weekly decision engine that consolidates compset, demand, and content tasks—reducing workload while showing clear ROI.","PMS/CRS integration and IT/legal procurement gates (GDPR, data residency), plus limited internal bandwidth to execute recommendations and overlap with incumbent tools.",No PMS/CRM integration,No secure PMS/CRS integration (and inability to meet Swiss/GDPR data requirements) preventing reliable attribution and actionable recommendations.,"Propose a shoulder-season 60-day pilot with Swiss-hosted GDPR assurances, pre-approved DPA/security pack, and guaranteed PMS/CRS integration. Lead with a live dashboard demo tailored to Davos seasonality, then deliver a quantified ROI plan: baseline direct revenue, target +5% in 6 months, weekly action checklist, and multilingual (DE/EN/IT) content support. Offer white-glove onboarding, a clear vendor-overlap consolidation plan to free budget, local Swiss luxury references, and a monthly opt-out until the KPI trendline is proven. Secure the Head of Revenue as champion and include Finance early with an ROI calculator and performance checkpoint at day 45.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""No secure PMS/CRS integration (and inability to meet Swiss/GDPR data requirements) preventing reliable attribution and actionable recommendations."" vs CM=""If robust attribution of revenue impact is not possible due to lack of reliable PMS/CRS integration or data gaps (i.e., no measurable, defensible uplift in direct bookings)."""
7,hotel-beau-rivage-palace,Beau-Rivage Palace,Lausanne,5,168,660.96,luxury,27560446,49,48,20,65,2000_3000,"Swiss-hosted, PMS-integrated decision engine that unifies review/compset intelligence into weekly, revenue-linked actions and replaces overlapping agency/tool spend.",Internal adoption friction and brand-voice risk (plus Opera integration effort/IT review),No PMS/CRM integration,Failure to integrate with Opera PMS/CRM and/or inability to meet Swiss/GDPR-compliant hosting and data-processing requirements,"Lead with outcomes, not features: show a live dashboard demo built on public/compset signals to surface 3–5 immediate pricing and content actions. Offer a Swiss-hosted, Opera-integrated 90-day pilot with strict brand-voice guardrails (EN/FR templates + human approvals) and a jointly defined attribution plan targeting ≥5% direct revenue uplift. Provide a Swiss luxury reference and security pack upfront. Keep integration scope lean (read-first), limit weekly actions to a manageable list, and include white-glove onboarding. Position pricing at CHF 3k/month for the pilot with an optional performance-linked element for any step-up to CHF 5k.",medium,high,"deal_killer: GM=""Failure to integrate with Opera PMS/CRM and/or inability to meet Swiss/GDPR-compliant hosting and data-processing requirements"" vs CM=""No reliable PMS/CRM/booking engine integration or inability to meet Swiss data residency/GDPR requirements."""
8,hotel-grand-hotel-les-trois-rois,Grand Hotel Les Trois Rois,Basel,5,82,510.19,luxury,10383591,49,48,22,65,2000_3000,Audited 60‑day pilot that replaces part of agency/reputation spend and proves direct‑booking uplift with PMS attribution and Swiss‑hosted compliance.,CFO demand for auditable attribution plus PMS/booking‑engine integration lead times and legal/DP reviews.,No PMS/CRM integration,No reliable PMS/CRS/booking‑engine integration preventing clean attribution and data sync.,"Propose a Swiss‑hosted, GDPR‑compliant 60‑day pilot scheduled just after a peak period. Commit to: (1) Opera/current PMS + booking‑engine integration and a jointly agreed attribution plan, (2) baseline and track direct share, website conversion, and compset price‑parity actions, (3) weekly executive summary with 3–5 prioritized actions, and (4) a CFO‑ready ROI pack with audited numbers. Price in the CHF 2–3k band by offsetting part of agency/reputation spend; include monthly opt‑out, white‑glove onboarding, and luxury references in Switzerland. Make the deal contingent on integration success within 30–45 days.",high,high,"deal_killer: GM=""No reliable PMS/CRS/booking‑engine integration preventing clean attribution and data sync."" vs CM=""No secure PMS/CRM integration and lack of clear GDPR/Swiss-compliant data handling (data residency & ownership)"""
9,hotel-hotel-metropole-geneve,Hôtel Métropole Genève,Genève,5,102,621.03,luxury,15722244,49,47,21,65,1000_2000,"Swiss‑hosted, PMS‑integrated 60‑day pilot that generates weekly commercial actions and a direct‑revenue attribution dashboard, replacing a slice of agency hours.","Integration/IT and data‑residency approvals, overlap with existing agency/vendor contracts, and CFO/Owner budget signoff timing.",No PMS/CRM integration,Inability to integrate with PMS/booking engine to attribute direct revenue (cannot prove ROI).,"Propose a Swiss‑hosted, PMS‑integrated 60‑day pilot timed outside peak event periods. Commit to a weekly action playbook (EN/FR) and a live attribution dashboard tied to direct revenue and RevPAR. Price it at 2–3k/month with a monthly opt‑out and optional performance kicker; frame savings as replacing 20–30 agency hours/month, not net‑new spend. Bring 1–2 Swiss luxury references and sign data‑processing/SLA docs up front to accelerate IT/legal.",high,high,"price_band: GM=2000_3000 vs CM=1000_2000 | deal_killer: GM=""Inability to integrate with PMS/booking engine to attribute direct revenue (cannot prove ROI)."" vs CM=""Inability to integrate with PMS/CRS and booking engine or to demonstrate attributable uplift in direct revenue/conversion within the pilot window."""
10,hotel-hotel-schweizerhof-luzern,Hotel Schweizerhof Luzern,Luzern,5,101,387.94,luxury,9724958,49,45,24,62,2000_3000,"Attribution-first 90-day pilot: integrate with Opera/booking engine, lock success metrics upfront, deliver a weekly action list, and prove a measurable lift in direct bookings/conversion with Swiss-hosted data and luxury references.",Finance/Owner attribution standard combined with Opera/booking engine integration complexity and procurement/legal review timelines.,No PMS/CRM integration,If PMS/CRS/booking-engine integration cannot reliably attribute direct revenue impact (or uplift cannot be demonstrated to Finance/Owner standards within the pilot).,"Propose a 90-day Swiss-hosted pilot at CHF 2.5–3k/month with white-glove onboarding. Commit to Opera/booking-engine integration, define success pre‑sign (target 7% direct revenue uplift or agreed conversion/ADR proxies), and provide 1–2 Swiss luxury references. Deliver a live dashboard + weekly action list with named owners. Include ROI calculator, monthly opt-out after pilot, and a path to partial replacement of agency/reputation tooling to keep net-new spend minimal.",high,high,"deal_killer: GM=""If PMS/CRS/booking-engine integration cannot reliably attribute direct revenue impact (or uplift cannot be demonstrated to Finance/Owner standards within the pilot)."" vs CM=""No demonstrable two-way integration with the PMS/booking engine and no credible proof of incremental direct bookings."""
