hotel_slug,role,replication,ps_guest_sentiment,ps_competitive_positioning,ps_guest_segmentation,ps_ai_discovery,ps_multilingual_content,ps_data_to_actions,ps_small_team_operations,top_justifiers,budget_bucket,proof_metric,price_1000,price_2000,price_3000,price_4000,price_5000,price_7500,resistance_threshold,resistance_main,realistic_price_band,replacement_anchors,deal_killer,deal_killer_canonical,proof_ranking,buy_likelihood_3000,buy_likelihood_5000
hotel-7-heavens,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | stronger_review_intelligence,gm_discretionary,increase in direct bookings / direct booking conversion rate,5,4,3,2,2,1,3000,budget vs. measurable ROI for a small (25-unit) property,1000_2000,agency_spend | review_reputation_tooling | manual_management_time | fragmented_crm_content,no PMS/CRM integration (no access to booking/contact data),No PMS/CRM integration,90_day_pilot | reference_luxury | pms_crm_integration | reference_switzerland | live_dashboard_demo,,
hotel-7-heavens,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | more_direct_bookings,gm_discretionary,direct_booking_volume_or_revenue,5,5,4,3,2,1,5000,Budgetary constraint vs. perceived incremental ROI at high monthly fees,2000_3000,agency_spend | manual_management_time | review_reputation_tooling,No Swiss/GDPR-compliant data hosting or refusal to demonstrate secure handling of guest data,No GDPR / Swiss data hosting,60_day_pilot | reference_luxury | reference_switzerland | pms_crm_integration | roi_calculator,,
hotel-7-heavens,gm_owner,,4,3,4,2,4,5,5,more_direct_bookings | clearer_weekly_decisions | faster_content_production,owner_exception,increase in direct enquiries/bookings (or conversion from direct contact) and measurable direct revenue uplift,5,4,3,2,1,1,4000,Hard to justify recurring spend at higher tiers for a 25-unit property — budget needs to show clear incremental direct revenue,1000_2000,agency_spend | junior_marketing_hire | manual_management_time,No measurable uplift in direct enquiries/bookings (or inability to demonstrate attributable ROI) within the agreed pilot window.,Cannot prove attribution / ROI,60_day_pilot | reference_luxury | reference_switzerland | pms_crm_integration | gdpr_swiss_hosting,,
hotel-7-heavens,commercial_marketing,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | faster_content_production,commercial_revenue,increase in direct enquiries/bookings from website contact flow (lead-to-booking conversion),4,4,3,3,2,1,5000,monthly cost vs small property scale—hard to justify recurring high SaaS spend,1000_2000,agency_spend | review_reputation_tooling | manual_management_time,"No measurable, attributable uplift in direct enquiries or bookings (i.e., inability to track impact on our contact-only booking flow).",Cannot prove attribution / ROI,reference_luxury | reference_switzerland | 60_day_pilot | pms_crm_integration | live_dashboard_demo,,
hotel-7-heavens,commercial_marketing,,4,4,4,4,4,5,5,better_compset_intelligence | clearer_weekly_decisions | stronger_review_intelligence,owner_exception,Increase in direct contact-form inquiries / direct booking enquiries (measured as contact conversions),5,5,4,3,2,1,5000,Budget justification vs demonstrable ROI for a small luxury property,2000_3000,agency_spend | review_reputation_tooling | compset_revenue_tooling | manual_management_time,No PMS/CRM integration to reliably measure contact-to-booking impact (cannot prove direct revenue influence),No PMS/CRM integration,reference_luxury | reference_switzerland | pms_crm_integration | 60_day_pilot | gdpr_swiss_hosting,,
hotel-7-heavens,commercial_marketing,,4,5,4,3,3,5,5,better_compset_intelligence | clearer_weekly_decisions | stronger_review_intelligence,owner_exception,Direct contact-to-booking conversion rate (from website/requests),4,5,4,3,2,1,5000,Cost relative to very small inventory — hard to justify large recurring fees on 25 serviced apartments,1000_2000,agency_spend | manual_management_time | review_reputation_tooling,no_gdpr_swiss_hosting,No GDPR / Swiss data hosting,reference_luxury | pms_crm_integration | reference_switzerland | 60_day_pilot | white_glove_onboarding,,
hotel-abc-swiss-quality-hotel,gm_owner,,4,4,3,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,commercial_revenue,direct_booking_revenue,4,3,2,1,1,1,3000,Budget constraints for a 49-room premium hotel — recurring software fees must show clear ROI.,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No measurable direct bookings uplift within the agreed proof period (and inability to integrate with our booking/PMS to prove attribution).,No PMS/CRM integration,60_day_pilot | reference_switzerland | pms_crm_integration | gdpr_swiss_hosting | live_dashboard_demo,,
hotel-abc-swiss-quality-hotel,gm_owner,,4,3,4,2,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,gm_discretionary,direct_booking_revenue_share,4,4,3,2,1,1,3000,"Budget constraints for a 49-room premium hotel; monthly cost needs to justify clear, near-term revenue uplift",1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No reliable integration with our PMS/booking engine (or inability to guarantee Swiss/GDPR-compliant hosting).,No PMS/CRM integration,60_day_pilot | live_dashboard_demo | pms_crm_integration | reference_switzerland | gdpr_swiss_hosting,,
hotel-abc-swiss-quality-hotel,gm_owner,,4,4,4,3,3,5,5,clearer_weekly_decisions | better_compset_intelligence | more_direct_bookings,commercial_revenue,increase in direct booking revenue,4,4,3,2,2,1,4000,Too expensive for a 49-room property given current team and budgets,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No reliable integration with our PMS/booking engine and no credible proof that the product increases direct bookings.,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | live_dashboard_demo,,
hotel-abc-swiss-quality-hotel,commercial_marketing,,4,4,4,3,3,5,5,clearer_weekly_decisions | stronger_review_intelligence | better_compset_intelligence,marketing_software,Direct bookings revenue (or share of direct bookings),4,4,3,2,1,1,3000,Budget constraints and difficulty justifying sustained monthly spend for a 49-room property,1000_2000,manual_management_time | agency_spend | review_reputation_tooling | compset_revenue_tooling,"No measurable uplift in direct bookings or RevPAR within the agreed proof period (i.e., inability to demonstrate credible revenue impact).",Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | live_dashboard_demo,,
hotel-abc-swiss-quality-hotel,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | avoiding_additional_hire,marketing_software,increase_in_direct_booking_revenue,4,4,3,2,2,1,3000,budget constraints for a 49-room regional premium hotel,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No reliable PMS/CRS integration (or unclear Swiss/GDPR-compliant data hosting),No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo | roi_calculator,,
hotel-abc-swiss-quality-hotel,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,marketing_software,Direct bookings share (percentage of room nights booked direct),4,4,3,2,1,1,3000,Monthly cost exceeds small-hotel marketing budget,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,"No measurable uplift in direct bookings or RevPAR within the agreed proof period (i.e., no demonstrable revenue impact).",Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | reference_switzerland | gdpr_swiss_hosting | live_dashboard_demo,,
hotel-aida-hotel-spa-adults-only,gm_owner,,4,4,4,3,3,5,5,clearer_weekly_decisions | stronger_review_intelligence | more_direct_bookings,commercial_revenue,increase in direct booking revenue,4,3,3,2,2,1,4000,Too expensive relative to hotel's scale and predictable ROI,1000_2000,manual_management_time | review_reputation_tooling | fragmented_crm_content | agency_spend,No measurable uplift in direct bookings or direct booking revenue within the agreed proof period,Cannot prove attribution / ROI,reference_luxury | reference_switzerland | 60_day_pilot | pms_crm_integration | roi_calculator,,
hotel-aida-hotel-spa-adults-only,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | stronger_review_intelligence | avoiding_additional_hire,gm_discretionary,Increase in direct booking revenue (net),3,2,1,1,1,1,2000,Cost relative to the hotel's size and expected ROI,1000_2000,manual_management_time | fragmented_crm_content | review_reputation_tooling,No measurable increase in direct bookings (unclear ROI) or inability to integrate with our PMS/booking flow.,No PMS/CRM integration,reference_luxury | reference_switzerland | pms_crm_integration | gdpr_swiss_hosting | 60_day_pilot,,
hotel-aida-hotel-spa-adults-only,gm_owner,,4,4,4,3,4,5,5,clearer_weekly_decisions | stronger_review_intelligence | faster_content_production,gm_discretionary,direct_booking_revenue,5,4,3,2,1,1,4000,monthly subscription cost exceeds what a small (18-room) luxury property can justify without clear short-term ROI,1000_2000,manual_management_time | review_reputation_tooling | fragmented_crm_content,"No measurable uplift in direct bookings/revenue within the agreed proof period (i.e., no clear ROI)",Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_luxury | live_dashboard_demo,,
hotel-aida-hotel-spa-adults-only,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | stronger_review_intelligence | faster_content_production,marketing_software,direct_booking_revenue,5,4,3,2,1,1,3000,Owner/GM budget constraints for small independent property,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No credible proof of measurable uplift in direct bookings for similarly sized Swiss luxury/wellness hotels within the agreed time window.,No GDPR / Swiss data hosting,90_day_pilot | reference_switzerland | reference_luxury | pms_crm_integration | roi_calculator,,
hotel-aida-hotel-spa-adults-only,commercial_marketing,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | stronger_review_intelligence,marketing_software,increase in direct channel room nights / direct room revenue,4,3,2,1,1,1,3000,Cost relative to hotel size and expected direct-revenue uplift — too high fixed monthly spend for an 18‑room property.,1000_2000,manual_management_time | fragmented_crm_content | agency_spend,"No measurable uplift in direct bookings / direct revenue during an agreed trial period (i.e., inability to prove incremental direct revenue).",Cannot prove attribution / ROI,90_day_pilot | reference_luxury | reference_switzerland | pms_crm_integration | gdpr_swiss_hosting,,
hotel-aida-hotel-spa-adults-only,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | avoiding_additional_hire | stronger_review_intelligence,commercial_revenue,direct_booking_revenue,4,3,2,1,1,1,3000,Price exceeds perceived ROI for an 18‑room boutique property,1000_2000,manual_management_time | review_reputation_tooling | agency_spend | fragmented_crm_content,Insufficient GDPR / Swiss‑hosting assurances or unclear data residency that risks guest data privacy,No GDPR / Swiss data hosting,60_day_pilot | pms_crm_integration | gdpr_swiss_hosting | reference_switzerland | reference_luxury,,
hotel-alex-lake-zuerich,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,commercial_revenue,increase in direct booking revenue (website bookings),4,5,4,3,2,1,4000,Price no longer fits scale of a 43-room boutique hotel — ROI/payback uncertain,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,Unable to prove a credible direct booking revenue uplift (at least the agreed minimum) within the trial period or inability to integrate with our PMS/booking engine for attribution.,No PMS/CRM integration,90_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo | gdpr_swiss_hosting,,
hotel-alex-lake-zuerich,gm_owner,,5,4,4,3,4,5,5,better_compset_intelligence | clearer_weekly_decisions | stronger_review_intelligence,commercial_revenue,Direct booking revenue (room nights from direct channel),5,5,4,3,2,1,5000,Cost relative to hotel size and available commercial budget,1000_2000,agency_spend | manual_management_time | review_reputation_tooling,No measurable increase in direct bookings or revenue within the agreed proof period,Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | reference_switzerland | reference_luxury | live_dashboard_demo,,
hotel-alex-lake-zuerich,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,commercial_revenue,direct_booking_revenue,5,4,3,2,1,1,4000,Exceeds available commercial/GM discretionary budget for a boutique property,1000_2000,manual_management_time | agency_spend | review_reputation_tooling | junior_marketing_hire,no_proof_of_direct_booking_uplift,No Swiss reference customers,60_day_pilot | roi_calculator | pms_crm_integration | reference_switzerland | white_glove_onboarding,,
hotel-alex-lake-zuerich,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | more_direct_bookings | better_compset_intelligence,commercial_revenue,direct_booking_revenue,4,4,3,2,2,1,3000,ongoing budget constraints for a 43-room boutique property,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No measurable uplift in direct bookings (or inability to integrate with our booking engine/PMS) within the agreed proof period.,No PMS/CRM integration,90_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | roi_calculator,,
hotel-alex-lake-zuerich,commercial_marketing,,4,4,4,2,3,5,5,better_compset_intelligence | clearer_weekly_decisions | stronger_review_intelligence,marketing_software,increase in direct website room revenue (direct booking revenue),5,4,3,2,2,1,3000,Cost relative to hotel scale and uncertain short-term ROI,1000_2000,manual_management_time | agency_spend | review_reputation_tooling | compset_revenue_tooling,No reliable PMS/booking-engine integration (no live data exchange) or inability to demonstrate measurable direct-booking uplift within the agreed proof window.,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | roi_calculator,,
hotel-alex-lake-zuerich,commercial_marketing,,4,4,3,2,3,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,commercial_revenue,increase in direct channel bookings (direct booking revenue),4,4,3,2,1,1,3000,monthly cost is large relative to our property size and current commercial tech stack,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No measurable uplift in direct bookings or RevPAR within an agreed pilot window and/or inability to integrate with our PMS/booking data.,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | roi_calculator,,
hotel-alpen-resort-hotel-spa,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,commercial_revenue,increase in direct booking revenue,5,5,4,3,2,1,5000,budget constraints for a 55-room premium property,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No credible proof of direct booking uplift or inability to integrate with our PMS/booking flow,No PMS/CRM integration,reference_luxury | pms_crm_integration | 60_day_pilot | reference_switzerland | gdpr_swiss_hosting,,
hotel-alpen-resort-hotel-spa,gm_owner,,4,4,4,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | avoiding_additional_hire,commercial_revenue,direct booking revenue uplift (absolute and %),5,4,3,2,2,1,4000,Price exceeds expected incremental direct revenue given current sales/marketing maturity,1000_2000,manual_management_time | fragmented_crm_content | review_reputation_tooling,No trustworthy PMS/booking-engine integration (lack of read/write access to reservations and rate data).,No PMS/CRM integration,pms_crm_integration | reference_switzerland | reference_luxury | 90_day_pilot | live_dashboard_demo,,
hotel-alpen-resort-hotel-spa,gm_owner,,4,5,4,3,4,5,5,more_direct_bookings | better_compset_intelligence | avoiding_additional_hire,commercial_revenue,increase in direct booking revenue (vs OTA),5,4,3,2,1,1,4000,Budget constraints for an ongoing SaaS fee at this level relative to expected measurable uplift,1000_2000,agency_spend | manual_management_time | junior_marketing_hire,No reliable integration with our PMS/booking engine (no live data sync),No PMS/CRM integration,90_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | 60_day_pilot,,
hotel-alpen-resort-hotel-spa,commercial_marketing,,4,4,4,3,5,5,5,better_compset_intelligence | clearer_weekly_decisions | faster_content_production,marketing_software,increase in direct booking revenue,4,4,3,2,2,1,4000,Cost exceeds realistic ongoing software budget for a 55-room premium resort with a small commercial team.,1000_2000,agency_spend | manual_management_time | review_reputation_tooling | junior_marketing_hire,No credible proof of measurable uplift in direct bookings within a single high-season pilot (≈3 months).,Cannot prove attribution / ROI,90_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | white_glove_onboarding,,
hotel-alpen-resort-hotel-spa,commercial_marketing,,4,4,5,3,4,5,5,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,commercial_revenue,direct_booking_revenue,4,5,4,3,2,1,4000,budget constraints / must justify vs. direct revenue uplift,1000_2000,manual_management_time | agency_spend | review_reputation_tooling,No Swiss/GDPR-compliant hosting or inability to integrate cleanly with our PMS/booking engine,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_switzerland | roi_calculator | white_glove_onboarding,,
hotel-alpen-resort-hotel-spa,commercial_marketing,,4,4,4,3,4,5,5,clearer_weekly_decisions | better_compset_intelligence | stronger_review_intelligence,marketing_software,incremental_direct_room_revenue,4,4,3,2,2,1,4000,Budget constraints for a single-property 55-room hotel,1000_2000,agency_spend | review_reputation_tooling | manual_management_time,No measurable uplift in direct bookings or direct room revenue within the agreed proof period (no attribution to show ROI).,Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | reference_switzerland | live_dashboard_demo | roi_calculator,,
hotel-alpengold-davos,gm_owner,,5,5,4,3,4,5,4,clearer_weekly_decisions | better_compset_intelligence | more_direct_bookings,commercial_revenue,increase in direct room revenue (direct bookings),5,5,4,3,2,1,5000,Budget constraints and unclear incremental ROI at that price,1000_2000,agency_spend | junior_marketing_hire | review_reputation_tooling | compset_revenue_tooling | manual_management_time | fragmented_crm_content,"No integration with our PMS/CRS (no access to live data) — without that, attribution and actionable recommendations are impossible",No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_luxury | reference_switzerland | live_dashboard_demo,,
hotel-alpengold-davos,gm_owner,,5,4,4,3,4,5,4,clearer_weekly_decisions | better_compset_intelligence | more_direct_bookings,commercial_revenue,direct booking revenue uplift,5,4,3,2,1,1,3000,"cost vs demonstrable, short-term ROI",1000_2000,agency_spend | manual_management_time | review_reputation_tooling | compset_revenue_tooling,No secure PMS/CRS integration or inability to guarantee Swiss/GDPR-compliant data handling.,No PMS/CRM integration,60_day_pilot | live_dashboard_demo | reference_luxury | pms_crm_integration | gdpr_swiss_hosting,,
hotel-alpengold-davos,gm_owner,,5,4,4,3,4,5,5,more_direct_bookings | better_compset_intelligence | clearer_weekly_decisions,commercial_revenue,direct_booking_revenue,4,4,4,3,2,1,4000,Budget/ROI not justified at higher price,2000_3000,manual_management_time | agency_spend | review_reputation_tooling,No reliable integration with our PMS/RMS/booking engine (inability to ingest and push data).,No PMS/CRM integration,60_day_pilot | pms_crm_integration | reference_switzerland | reference_luxury | live_dashboard_demo,,
hotel-alpengold-davos,commercial_marketing,,4,4,4,3,4,5,4,more_direct_bookings | clearer_weekly_decisions | better_compset_intelligence,commercial_revenue,Increase in direct-booking revenue (or direct booking conversion rate),5,4,3,2,2,1,4000,Budget constraints and need to prioritise proven revenue impact,1000_2000,agency_spend | review_reputation_tooling | compset_revenue_tooling | manual_management_time,"No measurable uplift in direct bookings or RevPAR within the agreed pilot/proof period (i.e., inability to demonstrate revenue impact).",Cannot prove attribution / ROI,60_day_pilot | pms_crm_integration | live_dashboard_demo | reference_switzerland | roi_calculator,,
