hotel_name,city,country,latitude,longitude,ta_location_id,gp_place_id,ta_timezone,website_url,phone,ta_street,ta_city,ta_country,ta_postalcode,ta_address_string,gp_formatted_address,gp_short_address,ta_brand,ta_parent_brand,is_independent,is_luxury,ta_category,ta_price_level,ta_rating,ta_num_reviews,ta_photo_count,ta_rating_1_count,ta_rating_2_count,ta_rating_3_count,ta_rating_4_count,ta_rating_5_count,ta_rating_5_pct,ta_rating_negative_pct,gp_rating,gp_user_rating_count,gp_business_status,gp_editorial_summary,gp_review_summary_gemini,ta_subrating_location,ta_subrating_sleep,ta_subrating_room,ta_subrating_service,ta_subrating_value,ta_subrating_cleanliness,ta_subrating_min,ta_subrating_max,ta_subrating_range,ta_subrating_weakest,ta_subrating_strongest,ta_ranking,ta_ranking_out_of,ta_ranking_geo,ta_ranking_string,ta_ranking_percentile,ta_trip_type_business,ta_trip_type_couples,ta_trip_type_solo,ta_trip_type_family,ta_trip_type_friends,ta_segment_pct_business,ta_segment_pct_couples,ta_segment_pct_solo,ta_segment_pct_family,ta_segment_pct_friends,ta_primary_segment,ta_segment_diversity,ta_amenity_count,ta_has_spa,ta_has_pool,ta_has_restaurant,ta_has_free_wifi,ta_has_ev_charging,ta_has_butler_service,ta_has_concierge,ta_has_meeting_rooms,ta_has_parking,ta_has_pet_friendly,ta_has_fitness,ta_has_bar,ta_has_room_service,ta_has_suites,ta_has_accessible_rooms,ta_has_airport_shuttle,ta_has_laundry,ta_has_minibar,ta_has_air_conditioning,ta_has_babysitting,ta_has_tennis,ta_has_golf,ta_has_sauna,ta_has_kids_club,ta_has_casino,ta_has_beach,ta_has_ski,gp_allows_dogs,gp_good_for_children,gp_wheelchair_parking,gp_wheelchair_entrance,gp_landmarks,gp_landmark_count,gp_areas,review_language_count,review_total_collected,reviewer_top_source,reviewer_unique_sources,owner_response_rate,owner_response_count,ta_most_recent_review,flag_active_reputation_mgmt,rating_divergence_ta_vs_google,review_count_ratio_google_vs_ta,has_dual_platform,ta_awards,ta_award_count
Baur au Lac,Zurich,Switzerland,47.367363,8.539124,196060,ChIJZcrzZBcLkEcROaEB21geaZk,Europe/Zurich,https://www.bauraulac.ch/,+41 44 220 50 20,Talstrasse 1,Zurich,Switzerland,8001,"Talstrasse 1, Zurich 8001 Switzerland","Talstrasse 1, 8001 Zürich, Switzerland","Talstrasse 1, Zürich",The Leading Hotels of the World,"The Leading Hotels of the World, Ltd",False,True,hotel,$$$$,4.7,1179,959,22,25,42,113,977,0.8287,0.0399,4.6,1835,OPERATIONAL,"Swanky rooms & suites in a grand, luxe 1844 hotel offering 4 posh restaurants & canal views.",,4.9,4.8,4.8,4.7,4.2,4.9,4.2,4.9,0.7,value,location,9,152,Zurich,#9 of 152 hotels in Zurich,0.0592,267,398,88,208,89,0.2543,0.379,0.0838,0.1981,0.0848,couples,2.097,100,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,True,False,True,True,True,True,"Union Bancaire Privée, UBP SA (28.237698m) | Schweizerische Nationalbank SNB, Banque nationale Suisse BNS (107.62733m) | Bürkliplatz (141.31036m) | Maerki Baumann & Co. AG (138.33481m) | Goldman Sachs Bank AG (46.421505m)",5,City | City | Bahnhofstrasse,2,7,Germany,3,0.714,5,2026-03-16T06:34:11Z,True,0.1,1.56,True,Travelers Choice 2025,1
The Dolder Grand,Zurich,Switzerland,47.372665,8.573233,196061,ChIJXeB5Fc-gmkcRAUEVByhxN5o,Europe/Zurich,https://www.thedoldergrand.com/,+41 44 456 60 00,Kurhausstrasse 65,Zurich,Switzerland,8032,"Kurhausstrasse 65, Zurich 8032 Switzerland","Kurhausstrasse 65, 8032 Zürich, Switzerland","Kurhausstrasse 65, Zürich",The Leading Hotels of the World,"The Leading Hotels of the World, Ltd",False,True,hotel,$$$$,4.6,1932,2629,45,42,92,197,1556,0.8054,0.045,4.7,3914,OPERATIONAL,"High-end, 19th-century hotel offering 2 chic restaurants, plus a spa with an indoor pool & a gym.",,4.7,4.8,4.8,4.7,4.2,4.9,4.2,4.9,0.7,value,cleanliness,7,152,Zurich,#7 of 152 hotels in Zurich,0.0461,395,766,105,272,199,0.2274,0.441,0.0604,0.1566,0.1146,couples,2.028,83,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,True,True,True,True,Dolder Golf Club Zurich (49.640133m) | Bergstation Dolderbahn (64.69791m) | Ice rink Dolder Sports (324.5615m) | The Restaurant (91.09489m) | Bongénie @The Dolder Grand (47.53505m),5,Hottingen | District 7 | Dolder Golf Club Zurich,1,3,England,1,1.0,3,2026-03-24T19:28:32Z,True,-0.1,2.03,True,Travelers Choice 2025,1
Four Seasons George V,Paris,France,48.868793,2.300854,188975,ChIJAcNYmcJv5kcR7EQ_IeMZp8c,Europe/Paris,https://www.fourseasons.com/paris/?utm_source=google&utm_medium=organicsearch&utm_campaign=tor-par-hre-mid-seo-na&utm_content=na-na&utm_term=na,+33 1 49 52 70 00,31 Avenue George V,Paris,France,75008,"31 Avenue George V, 75008 Paris France","31 Av. George V, 75008 Paris, France","31 Av. George V, Paris",Four Seasons,Four Seasons Hotels & Resorts,False,True,hotel,$$$$,4.7,3345,2203,62,64,87,225,2906,0.869,0.0377,4.8,7233,OPERATIONAL,"Ornate, high-end hotel offering elegant rooms & suites, plus renown dining, a chic bar & luxe spa.",,4.9,4.8,4.8,4.8,4.3,4.9,4.3,4.9,0.6,value,location,259,1989,Paris,"#259 of 1,989 hotels in Paris",0.1302,416,1404,148,659,319,0.1412,0.4766,0.0502,0.2237,0.1083,couples,1.956,103,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,,True,True,True,"Prince de Galles, a Luxury Collection Hotel, Paris (41.322807m) | CIC (140.38548m) | Saint Pierre de Chaillot Catholic Church (192.73918m) | The American Cathedral in Paris (152.65437m) | Louis Vuitton (310.40387m)",5,Champs-Élysées | 8th arrondissement,2,5,Quebec,3,0.4,2,2026-03-21T12:35:57Z,False,-0.1,2.16,True,Travelers Choice 2025,1
Aman Tokyo,Tokyo,Japan,35.685333,139.76512,7371377,ChIJfV9KdPiLGGARn4ma2GUEoJo,Asia/Tokyo,https://www.aman.com/hotels/aman-tokyo?utm_source=Google&utm_medium=Yext&y_source=1_MTU3MDc3MDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+81 3-5224-3333,1-5-6 Otemachi,Otemachi,Japan,100-0004,"1-5-6 Otemachi The Otemachi Tower, Otemachi, Chiyoda 100-0004 Tokyo Prefecture","The Otemachi Tower, 1-chōme-5-6 Ōtemachi, Chiyoda City, Tokyo 100-0004, Japan","The Otemachi Tower, 1-chōme-5-6 Ōtemachi, Chiyoda City",Aman Resorts,Aman Resorts,False,True,hotel,$$$$,4.3,688,1476,36,32,50,114,456,0.6628,0.0988,4.4,1915,OPERATIONAL,"Refined lodging with contemporary rooms & Italian dining, plus city views, a spa & an indoor pool.","People say this hotel offers spacious rooms with breathtaking city views, and a luxurious spa and restaurants. They highlight the serene and elegant atmosphere, and the exceptional service with personalized touches. They also like the attentive and friendly staff.",4.6,4.7,4.8,4.3,3.9,4.9,3.9,4.9,1.0,value,cleanliness,2,5,Otemachi,#2 of 5 hotels in Otemachi,0.4,64,212,54,157,109,0.1074,0.3557,0.0906,0.2634,0.1829,couples,2.145,62,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,,True,True,True,Nomura Securities HQ (127.55829m) | Otemachi Tower (47.47237m) | ÉPICERIE BONHEUR de Seijo Ishii Otemachi (38.726887m) | Mizuho Bank Tokyo Central Branch (18.857536m) | Tokyo Station Marunouchi North Exit Bus Stop No.2 (278.7807m),5,5 | 1 Chome | Ōtemachi,2,9,Kanto,4,0.556,5,2026-03-13T07:24:51Z,True,-0.1,2.78,True,Travelers Choice Best of the Best 2025 | Travelers Choice 2025,2
Mandarin Oriental Bangkok,Bangkok,Thailand,13.723992,100.514244,301411,ChIJs6CnycSY4jAR5cqJZjPOsgs,Asia/Bangkok,https://www.mandarinoriental.com/en/bangkok/chao-phraya-river?src=loc.yext.mobkk.ggl,+66 2 659 9000,48 Oriental Avenue,Bangkok,Thailand,10500,"48 Oriental Avenue, Bangkok 10500 Thailand","48 Oriental Ave, Khwaeng Bang Rak, Khet Bang Rak, Krung Thep Maha Nakhon 10500, Thailand","Mandarin Oriental Bangkok, 48 Oriental Ave, Khwaeng Bang Rak, Khet Bang Rak",Mandarin Oriental,Mandarin Oriental Hotel Group,False,True,hotel,$$$$,4.8,6495,7322,70,63,169,595,5598,0.8619,0.0205,4.7,6493,OPERATIONAL,"Lavish, landmark lodging offering 9 refined restaurants, 2 outdoor pools & a luxe spa.",,4.7,4.8,4.8,4.9,4.4,4.9,4.4,4.9,0.5,value,service,138,2078,Bangkok,"#138 of 2,078 hotels in Bangkok",0.0664,741,2677,460,1282,650,0.1275,0.4608,0.0792,0.2207,0.1119,couples,2.018,91,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,True,True,Assumption Convent School (87.695206m) | Assumption College (190.75697m) | Embassy of France (114.33169m) | Assumption Cathedral (74.028824m) | Catholic Mission of Bangkok (49.105667m),5,"Mandarin Oriental, Bangkok | Bang Rak | Bang Rak",1,4,United Kingdom,4,1.0,4,2026-03-24T12:44:00Z,True,0.1,1.0,True,Travelers Choice 2025,1
Burj Al Arab,Dubai,UAE,25.141317,55.185345,302457,ChIJLc8UZFdqXz4ROODwebhx2rM,Asia/Dubai,https://www.jumeirah.com/en/stay/dubai/burj-al-arab-jumeirah?utm_source=google&utm_medium=google%20places&utm_campaign=hotel,+971 4 301 7777,Jumeirah Beach Road,Dubai,United Arab Emirates,,"Jumeirah Beach Road Umm Suqeim 3, Dubai United Arab Emirates",Dubai - Umm Suqeim Third - Umm Suqeim 3 - Dubai - United Arab Emirates,Umm Suqeim Third,Jumeirah,Jumeirah Group,False,True,hotel,$$$$,4.6,7175,11562,168,153,319,755,5780,0.8056,0.0447,4.7,30807,OPERATIONAL,"Opulent hotel featuring ornate suites, plus 9 restaurants, 4 pools, a private beach & a luxe spa.",,4.8,4.8,4.8,4.7,4.2,4.9,4.2,4.9,0.7,value,cleanliness,366,1217,Dubai,"#366 of 1,217 hotels in Dubai",0.3007,471,2717,310,1736,811,0.0779,0.4495,0.0513,0.2872,0.1342,couples,1.931,112,True,True,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,False,,True,True,True,Burj Al Arab Garden (34.17873m) | Wild Wadi Waterpark Jumeirah (367.6191m) | Sahn Eddar (13.870258m) | Al Iwan (42.87331m) | Skyview Bar (99.34931m),5,Umm Suqeim 3 | Umm Suqeim Third | Jumeirah 3,1,4,England,2,1.0,4,2026-03-25T09:58:30Z,True,-0.1,4.29,True,Travelers Choice 2025,1
Claridge's,London,UK,51.51254,-0.147863,187685,ChIJcZY1XAAFdkgRieYQg6UqpzQ,Europe/London,https://www.maybourne.com/en/hotels/claridges?utm_source=google&utm_medium=organic&utm_campaign=local,+44 20 7629 8860,Brook Street,London,United Kingdom,W1K 4HR,"Brook Street Mayfair, London W1K 4HR England","Brook St, London W1K 4HR, UK","Brook St, London",,,True,True,hotel,$$$$,4.7,3609,2335,50,68,148,337,3006,0.8329,0.0327,4.7,4055,OPERATIONAL,"Polished rooms & opulent suites in a lavish hotel offering posh dining & afternoon tea, plus a spa.","People say this hotel offers a luxurious afternoon tea with plentiful sandwiches, scones, and cakes, as well as a wide selection of teas, champagne, and cocktails. They highlight the elegant, classic, and current atmosphere, with stunning floral arrangements and live piano music, and the attentive and friendly service. They also like the generous refills of scones and sandwiches, and the complimentary treats and gifts for special occasions.",4.9,4.8,4.7,4.8,4.3,4.8,4.3,4.9,0.6,value,location,68,1317,London,"#68 of 1,317 hotels in London",0.0516,413,1379,144,594,274,0.1473,0.4918,0.0514,0.2118,0.0977,couples,1.933,64,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,False,False,False,False,,True,True,True,Consulate of Argentina (69.74418m) | Selfridges (405.96164m) | Embassy of Argentina (61.15055m) | John Lewis & Partners (379.82678m) | Bond Street (223.65842m),5,Mayfair | Parking lot,1,5,England,3,0.2,1,2026-03-27T05:40:22Z,False,0.0,1.12,True,Travelers Choice Best of the Best 2025 | Travelers Choice 2025,2
citizenM Zurich,Zurich,Switzerland,47.37204,8.535359,17452639,ChIJe-2QBwQKkEcRH0TSLuKgW64,Europe/Zurich,https://www.marriott.com/en-us/hotels/zrhcm-citizenm-zurich/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+41 44 508 71 45,42 Talacker,Zurich,Switzerland,8001,"42 Talacker, Zurich 8001 Switzerland","Talacker 42, 8001 Zürich, Switzerland","Talacker 42, Zürich",citizenM,citizenM Hotels,False,True,hotel,$$$$,4.3,711,165,28,30,51,194,408,0.5738,0.0816,4.4,1214,OPERATIONAL,"Cozy, contemporary rooms in a trendy hotel offering a colorful lounge/bar, plus a 24-hour cafe.",,4.7,4.5,4.3,4.5,4.2,4.6,4.2,4.7,0.5,value,location,37,152,Zurich,#37 of 152 hotels in Zurich,0.2434,215,134,30,49,15,0.4853,0.3025,0.0677,0.1106,0.0339,business,1.808,49,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,,,True,Unterwerk Selnau (236.85352m) | zahnarztzentrum.ch - Zahnarztpraxis (54.915707m) | Paddy Reilly's (52.154903m) | Old Botanical Garden (139.60242m) | Parkhaus Talgarten (54.58326m),5,City | City | Bahnhofstrasse,1,5,Zurich,3,0.0,0,2026-03-21T03:02:14Z,False,-0.1,1.71,True,Travelers Choice 2025,1
Ritz-Carlton New York Central Park,New York,USA,40.76527,-73.976,224224,ChIJ4yNdwPBYwokRqc1lCC4n89w,America/New_York,https://www.ritzcarlton.com/en/hotels/nyccp-the-ritz-carlton-new-york-central-park/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0,+1 212-308-9100,50 Central Park South,New York City,United States,10019,"50 Central Park South, New York City, NY 10019","50 Central Park S, New York, NY 10019, USA","50 Central Park S, New York",The Ritz-Carlton (Marriott Bonvoy),Marriott,False,True,hotel,$$$$,4.5,1996,819,55,66,137,293,1445,0.7239,0.0606,4.6,635,OPERATIONAL,"Plush quarters, most with city or park views, in a grand property offering a chic bistro & a spa.",,4.9,4.7,4.6,4.6,4.0,4.8,4.0,4.9,0.9,value,location,185,584,New York City,#185 of 584 hotels in New York City,0.3168,300,742,88,507,138,0.169,0.418,0.0496,0.2856,0.0777,couples,1.977,102,True,False,True,False,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,True,False,False,False,False,True,True,True,True,Heckscher Playground (353.78717m) | Apollo Global Management (197.02864m) | Bergdorf Goodman (271.14322m) | 57 St (182.28433m) | Cop Cot (172.20592m),5,Midtown Manhattan | Manhattan | Central Park,1,5,England,2,0.2,1,2026-03-26T07:31:11Z,False,-0.1,0.32,True,Travelers Choice 2025,1
Singita Kruger National Park,Kruger NP,South Africa,-24.452236,31.978064,471937,ChIJT5ScTOHH5x4RGQOadcH8rFM,Africa/Johannesburg,https://www.shishangeni.com/,+27 13 735 3300,Private Concession,Kruger National Park,South Africa,1350,"Private Concession Eastern South Central, Kruger National Park 1350 South Africa","Mpanamana Concession Crocodile Gate Kruger National Park, 1153, South Africa",Mpanamana Concession Crocodile Gate Kruger National Park,,,True,False,hotel,,5.0,346,606,0,0,2,11,333,0.9624,0.0,4.8,252,OPERATIONAL,,,5.0,4.9,5.0,5.0,4.7,4.9,4.7,5.0,0.3,value,location,33,307,Kruger National Park,#33 of 307 Specialty lodging in Kruger National Park,0.1075,12,168,16,85,34,0.0381,0.5333,0.0508,0.2698,0.1079,couples,1.738,88,True,True,True,True,False,True,True,False,True,False,True,True,True,True,False,True,True,True,True,False,False,False,False,True,False,True,False,,True,True,True,,0,,1,5,New York,2,0.4,2,2026-01-07T05:33:43Z,False,0.2,0.73,True,,0
