slug,name,location,stars,superior,rooms,adr_chf,price_category,revenue_proxy_chf,segment,direct_booking,positioning,tone
hotel-7-heavens,7 Heavens,Zermatt,5,false,25,8174.45,Luxury,50722462,luxury,true,luxury ski chalets | private residences | premium mountain locations | tailored service | exclusive experiences | Spa,luxury
hotel-abc-swiss-quality-hotel,ABC Swiss Quality Hotel,Chur,4,false,49,638.96,Premium,7770904,upper_upscale,true,Zentrale Lage | Moderne Infrastruktur | Wellness-Angebote | Business-Boardroom | Langzeitaufenthalte | Spa,modern-boutique
hotel-aida-hotel-spa-adults-only,Aïda Hôtel & Spa - Adults only,Crans-Montana,5,false,18,669.12,Premium,2989361,luxury,true,luxury wellness | adult-only retreat | alpine views | gourmet dining | relaxation packages | Spa,luxury-wellness
hotel-alex-lake-zuerich,Alex Lake Zürich,Thalwil,5,false,43,361.86,Premium,3861987,luxury,true,luxury lakeside experience | fine dining | event hosting | wellness | scenic views | Spa,understated-luxury
hotel-alpen-resort-hotel-spa,Alpen Resort Hotel & Spa,Zermatt,4,false,55,798.7,Premium,10903054,luxury,true,wellness | skiing | gastronomy | family-friendly | Spa | Restaurant,luxury
hotel-alpengold-davos,AlpenGold Davos,Davos Dorf,5,false,216,348,Premium,18656698,luxury,true,alpine charm | wellness retreat | luxury accommodation | cultural dining experiences | family-friendly | natural scenery,luxury-leisure
hotel-ambassador-hotel-zuerich,Ambassador Hotel Zürich,Zürich,4,true,44,404.24,Premium,4219861,upper_upscale,true,boutique luxury | central location | unique experiences | stylish comfort | business-friendly | Spa,luxury-boutique
hotel-ameron-swiss-mountain-hotel-davos,AMERON Swiss Mountain Hotel Davos,Davos Platz,4,true,148,320.29,Premium,11765405,upper_upscale,true,alpine wellness | family-friendly activities | outdoor adventure | culinary experiences | Spa | Wellness,alpine-boutique
hotel-ameron-zuerich-bellerive-au-lac,AMERON Zürich Bellerive au Lac,Zürich,4,true,61,799.51,Premium,12104741,luxury,true,urban lifestyle | Mediterranean flair | luxury stay | Art Deco design | Spa | Restaurant,understated-luxury
hotel-apparthotel-panorama-ski-lodge,Apparthotel Panorama Ski Lodge,Zermatt,4,false,6,392,Premium,583766,upper_upscale,true,luxurious | modern | wellness | Bar | Ski services | Suites,luxury
hotel-appenzeller-huus-huus-quell-2,"Appenzeller Huus, Huus Quell",Gonten,5,true,30,524.86,Premium,3908108,luxury,true,wellness retreat | fine dining | alpine views | stylish accommodations | luxury escape | Spa,luxury-retreat
hotel-art-boutique-hotel-monopol,Art Boutique Hotel Monopol,St. Moritz,4,false,67,745.72,Premium,12400876,luxury,true,central location | alpine wellness | luxury amenities | family-friendly | gastronomy | Spa,alpine-luxury
hotel-art-deco-hotel-montana,Art Deco Hotel Montana,Luzern,4,true,63,326.81,Premium,5110197,upper_upscale,true,Art Deco style | scenic views | quality service | rich breakfast | wellness packages | Spa,understated-luxury
hotel-art-hotel-riposo,Art Hotel Riposo,Ascona,4,false,29,312.14,Premium,2246721,upper_upscale,true,romantic ambiance | central location | culinary experiences | artistic vibe | Restaurant | Bar,boutique-charm
hotel-aspen-alpin-lifestyle-hotel-grindelwald,Aspen alpin lifestyle hotel Grindelwald,Grindelwald,4,true,39,536.27,Premium,5190986,upper_upscale,true,alpine lifestyle | magnificent nature | wellness retreat | mountain activities | Spa | Wellness,alpine-luxury
hotel-b2-hotel,B2 Hotel,Zürich,4,false,60,549.31,Premium,8180325,upper_upscale,true,urban retreat | contemporary design | historical background | community space | wellness offerings | Spa,urban-boutique
hotel-backstage-hotel-vernissage,Backstage Hotel Vernissage,Zermatt,4,false,19,523.23,Premium,2467448,upper_upscale,true,art and design | urban lifestyle | wellness and spa | family-friendly accommodations | fine dining | Spa,modern-luxury
hotel-beatus-wellness-spa-hotel,Beatus Wellness- & Spa-Hotel,Merligen,5,false,71,515.89,Premium,9091117,luxury,true,wellness | spa | alpine-Mediterranean cuisine | lake views | retreats | Restaurant,wellness-leisure
hotel-beau-rivage-hotel,Beau-Rivage Hotel,Neuchâtel,5,false,66,261.62,,4285650,luxury,true,luxury | lake view | fine dining | wellness | events | Spa,luxury
hotel-beau-rivage-palace,Beau-Rivage Palace,Lausanne,5,true,168,660.96,Premium,27560446,luxury,true,understated luxury | wellness experiences | fine dining | historic elegance | event hosting | Spa,understated-luxury
hotel-beausite-zermatt,BEAUSiTE Zermatt,Zermatt,4,true,67,745.72,Premium,12400876,luxury,true,design & boutique hotel | alpine experience | spa & wellness | culinary exploration | Spa | Restaurant,contemporary-alpine
hotel-belarosa-hotel,BelArosa Hotel,Arosa,4,true,22,563.98,Premium,2943694,upper_upscale,true,wellness | retreat | luxury accommodations | family-friendly | local experiences | Spa,luxury-wellness
hotel-bellevue-terminus,Bellevue-Terminus,Engelberg,4,false,73,355.34,Premium,6438263,upper_upscale,true,urban lifestyle | Alpine scenery | celebrations | business events | culinary authenticity | Spa,urban-chic
hotel-belvedere-strandhotel,Belvédère Strandhotel,Spiez,4,true,56,308.07,Premium,4281927,upper_upscale,true,Wellness | Gastronomie | Business-Tagungen | Naturerlebnis | Spa | Restaurant,charming-wellness
hotel-bergwelt-grindelwald,Bergwelt Grindelwald,Grindelwald,4,true,90,311.33,Premium,6954490,upper_upscale,true,Premium Alpine Design | Spa Retreat | Social Dining | Adventure Experiences | Sustainability | Spa,premium-alpine
hotel-bernerhof-swiss-quality-hotel,Bernerhof Swiss Quality Hotel,Gstaad,4,true,46,369.19,Premium,4215116,upper_upscale,true,culinary luxury | eco-friendly practices | historic charm | Spa | Wellness | Restaurant,luxury-boutique
hotel-boutique-hotel-alpenrose,Boutique-Hotel Alpenrose,Schönried,4,false,24,328.44,Premium,1870137,upscale,false,Boutique hospitality | Gourmet dining | Alpine wellness | Nature retreat | Family-run | Sustainable tourism,alpine-boutique
hotel-boutique-hotel-corbetta,Boutique Hôtel Corbetta,Les Paccots,4,false,38,578,Premium,5451465,upper_upscale,true,nature wellness | culinary experience | mountain retreat | active lifestyle | family-friendly atmosphere | Spa,alpine-boutique
hotel-boutique-hotel-glacier,Boutique Hotel Glacier,Grindelwald,4,true,28,289.32,,2010658,upper_upscale,true,Boutique accommodations | Fine dining | Wellness and spa | Mountain experiences | Personalized service | Spa,boutique-luxury
hotel-boutique-hotel-remorino,Boutique-Hotel REMORINO,Minusio,4,false,24,317.85,Premium,1893369,upper_upscale,true,boutique-style | family-friendly | direct-booking benefits | Spa | Bar | Pool,charming-boutique
hotel-boutique-hotel-seefeld,Boutique-Hotel Seefeld,Zürich,4,true,65,308.07,Premium,4970093,upper_upscale,true,Boutique-Hotel | Stadtlocation | Kulinarik | Spa | Restaurant | Bar,boutique
hotel-boutique-sorell-hotel-seidenhof,Boutique Sorell - Hotel Seidenhof,Zürich,4,true,78,558.27,Premium,10807884,upper_upscale,true,Boutique-Hotel | historisch inspiriert | zeitgemäßes Design | Zürcher Shoppingmeile | kulinarische Angebote | Spa,boutique-luxury
hotel-buergenstock-hotel-alpine-spa,Bürgenstock Hotel & Alpine Spa,Obbürgen,5,true,211,803.59,Luxury,42084169,luxury,false,Belle Époque glamour | modern glass architecture | natural beauty | Spa | Suites | Family-friendly,luxury
hotel-carlton-europe-vintage-adults-hotel,Carlton-Europe Vintage Adults Hotel,Interlaken,4,false,69,366.75,Premium,6280887,upper_upscale,true,adults-only | historical charm | seminar facilities | relaxation areas | outdoor activities | Spa,vintage-luxury
hotel-carlton-hotel-st-moritz,Carlton Hotel St. Moritz,St. Moritz,5,true,60,779.95,Premium,11615015,luxury,true,luxury retreat | Michelin-star dining | wellness experiences | sustainable tourism | alpine views | Spa,understated-luxury
hotel-casa-berno-panorama-resort,Casa Berno Panorama Resort,Ascona,4,false,56,308.88,Premium,4293185,upper_upscale,true,Lakefront luxury | Wellness retreat | Meetings and MICE | Restaurant | Meeting rooms | Pool,relaxing-luxury
hotel-castello-del-sole-beach-resort-spa,Castello del Sole Beach Resort & SPA,Ascona,5,true,79,498.78,Premium,9779978,luxury,true,luxury hotel | nature retreat | wellness resort | gourmet dining | experiential activities | Spa,luxury-nature
hotel-central-plaza-hotel,Central Plaza Hotel,Zürich,4,false,103,308.07,Premium,7875686,upper_upscale,true,central location | modern lifestyle | excellent service | historical significance | Restaurant | Bar,modern-lifestyle
hotel-chalet-royalp-hotel-spa,Chalet Royalp Hôtel & Spa,Villars-sur-Ollon,5,true,63,458.84,Premium,7174698,luxury,true,luxury | wellness | gastronomy | nature | skiing | golf,understated-luxury
