slug,name,location,starRating,isSuperior,starLabel,hotelType,classificationText,address,roomsCount,roomsLabel,phone,email,emailUrl,specializationTags,certificationTags,accessibilityTags,amenityTags,priceCategory,priceSourceType,priceNightly,priceNightlyChf,sourceCurrency,matchedText,gmName,gmTitle,gmSourceUrl,websiteUrl,mySwitzerlandUrl,detailUrl,externalPriceUrl,sr_selected,sr_selection_reason_codes,sr_selection_reason_labels,sr_selection_buckets,sr_enrichment_status,sr_source_url,sr_page_title,sr_page_description,sr_website_summary,sr_offered_languages,sr_positioning_pillars,sr_positioning_tone,sr_direct_booking_presence,sr_booking_engine_signals,sr_ota_signals,sr_booking_flow_type,sr_amenity_signals,sr_audience_signals,sr_brand_style_signals,sr_market_segment,sr_annual_room_revenue_proxy_chf,sr_occupancy_assumption,sr_scrape_error
hotel-22-summits-apartments,22 Summits Apartments,Zermatt,4,false,Serviced Apartments 4 stelle,Serviced Apartments,Classificato come Serviced Apartments 4 stelle da HotellerieSuisse,"Oberdorfstrasse 130, 3920 Zermatt",20,Numero di camere/appartamenti **20**,+41279663510,apartments@22summits.ch,mailto:apartments@22summits.ch,,,,,,verified-external,210,171.15,USD,22 Summits Apartments from $210. Zermatt Hotel Deals & Reviews - KAYAK,,,,https://www.22summits-apartments.ch/,https://www.myswitzerland.com/it/alloggi/22-summits-apartments/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-22-summits-apartments,https://www.kayak.com/Zermatt-Hotels-Apparthotel-Casa-Vanessa.361648.ksp,true,premium_serviced_apartments,Premium serviced apartments signal,premium_or_luxury,enriched,https://www.22summits-apartments.ch/,Luxuriöse Ferienwohnungen in Zermatt | 22 Summits Apartments,"Willkommen im 22 Summits Boutique-Hotel **** in Zermatt mit Blick auf das Matterhorn: 22 Zimmer für Sommerurlaub und Winterurlaub in Zermatt mit Spa, Bar, Lounge & mehr...","22 SUMMITS Apartments in Zermatt offers luxurious holiday apartments ranging from 2 to 6 rooms, situated close to the main building of the boutique hotel. Guests can enjoy a fully equipped kitchen, a large balcony, and hotel services such as breakfast and wellness facilities.",German | English | French,luxury holiday apartments | wellness | central location | hotel services | personalized service | Spa,luxury-leisure,true,Book Now option visible | wellness services booking | Buchen CTA,Tripadvisor mention,native_direct,wellness | bar & lounge | breakfast | daily cleaning | personal consultation | Spa | Restaurant | Bar | Ski services,families | skiers | wellness guests | Wellness travelers | Ski travelers,modern design | stylish interiors | personalized service | Boutique | Modern,serviced_apartments,849589,0.68,
hotel-22-summits-boutique-hotel,22 Summits Boutique Hotel,Zermatt,4,false,albergo 4 stelle,Hotel,Classificato come albergo 4 stelle da HotellerieSuisse,"Zen Steckenstrasse 4, 3920 Zermatt",22,Numero di camere/appartamenti **22**,+41279663522,info@22summits.ch,mailto:info@22summits.ch,Biking | Snowsports | Wellness,,,Biking | Snowsports | Wellness,Premium,fallback-star-rating,,,,,,,,http://www.22summits.ch/,https://www.myswitzerland.com/it/alloggi/22-summits-boutique-hotel/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-22-summits-boutique-hotel,,true,premium_price_category,Premium price category,premium_or_luxury,enriched,http://www.22summits.ch/,Luxuröses 4* Hotel in Zermatt | 22 Summits Boutique-Hotel,"Willkommen im 22 Summits Boutique-Hotel **** in Zermatt mit Blick auf das Matterhorn: 22 Zimmer für Sommerurlaub und Winterurlaub in Zermatt mit Spa, Bar, Lounge & mehr...","22 Summits is a boutique hotel located in Zermatt, Switzerland, offering a stylish atmosphere and stunning views of the Matterhorn. The hotel features 22 elegantly designed rooms and suites, a bar and lounge, and a unique two-level wellness area.",EN | FR | DE,boutique hotel | wellness retreat | scenic location | alpine design | cozy atmosphere | Spa,understated-luxury,true,Buchen CTA,Tripadvisor mention,embedded_engine,spa | bar & lounge | breakfast | library | Wellness | Restaurant | Bar | Ski services | Suites | Biking,couples | families | wellness guests | skiers | Wellness travelers | Ski travelers,alpine minimalism | contemporary comfort | stylish design | Design-led | Boutique | Alpine aesthetic,upper_upscale,,0.68,
hotel-25hours-hotel-langstrasse,25hours Hotel Langstrasse,Zürich,4,false,albergo 4 stelle,Hotel,Classificato come albergo 4 stelle da HotellerieSuisse,"Langstrasse 150, 8004 Zürich",170,Numero di camere/appartamenti **170**,+41445765000,langstrasse@25hours.hotels.com,mailto:langstrasse@25hours.hotels.com,Design | Seminars,Swisstainable Livello III - leading,Valutazione su Ginto,Design | Seminars | Swisstainable Livello III - leading | Valutazione su Ginto,,verified-external,303,246.94,USD,View all 10 deals from $303,Lukas Meier,General Manager,https://25hours-hotels.com/wp-content/uploads/sites/39/2025/07/25h_langstrasse_media_pressrelease_artist-in-residence_EN.pdf,https://25hours-hotels.com/de/zurich/langstrasse/,https://www.myswitzerland.com/it/alloggi/25hours-hotel-langstrasse/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-25hours-hotel-langstrasse,https://www.tripadvisor.ca/Hotel_Review-g188113-d12105934-Reviews-25hours_Hotel_Zurich_Langstrasse-Zurich.html,true,large_hotel,Large hotel footprint,large_hotel,enriched,https://25hours-hotels.com/de/zurich/langstrasse/,25hours Hotel Zurich Langstrasse | Best Rates - Book now,The 25hours Hotel Zurich Langstrasse is located right next to Zurichs Main Station. Book your hotel at Zurich Main Station now.,"The 25hours Hotel Langstrasse in Zürich blends contrasts between high finance and nightlife, featuring inspirations from both the banking sector and the red-light district. Key aspects of the hotel include its ground floor with the Cinchona Bar and NENI restaurant, along with vibrant room designs that reflect different themes.",Deutsch | English | German | French,urban lifestyle | cultural experiences | gastronomic offerings | entertainment | business-friendly services | Spa,urban-boutique,true,Check Availability button visible on the page. | Buchen CTA,,native_direct,NENI restaurant | Cinchona Bar | sauna & fitness | volvo rides | bike rentals | Spa | Wellness | Restaurant | Bar | Meeting rooms,business travelers | couples | local explorers | event-goers | Groups and events | Wellness travelers | Ski travelers,eccentric design | local culture integration | modern amenities | artistic influences | Design-led | Boutique | Modern,business_conference,10419386,0.68,
hotel-25hours-hotel-zuerich-west,25hours Hotel Zürich West,Zürich,4,false,albergo 4 stelle,Hotel,Classificato come albergo 4 stelle da HotellerieSuisse,"Pfingstweidstrasse 102, 8005 Zürich",123,Numero di camere/appartamenti **123**,+41445772525,zuerichwest@25hours.hotels.com,mailto:zuerichwest@25hours.hotels.com,Design | Seminars,Swisstainable Livello III - leading,Valutazione su Ginto,Design | Seminars | Swisstainable Livello III - leading | Valutazione su Ginto,Premium,fallback-star-rating,,,,,Lukas Meier,General Manager,https://25hours-hotels.com/wp-content/uploads/sites/39/2024/11/25h_global_media_pressrelease_redesig-zurichwest.pdf,https://www.25hours-hotels.com/hotels/zuerich/zuerich-west,https://www.myswitzerland.com/it/alloggi/25hours-hotel-zuerich-west/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-25hours-hotel-zuerich-west,,true,premium_price_category | large_hotel,Premium price category | Large hotel footprint,premium_or_luxury | large_hotel,enriched,https://www.25hours-hotels.com/hotels/zuerich/zuerich-west,25hours Hotel Zurich West | Best Rates - Book now,The 25hours Hotel Zurich West is located in the district with the same name and not far from Zurich city center. Book your hotel in Zurich West now.,"25hours Hotel Zürich West offers a modern and vibrant stay with a focus on sports and relaxation. This hotel features stylish design by Alfredo Häberli and provides amenities such as a sauna, fitness facilities, an outdoor pool, and unique rooms equipped with sports gear. Located in the culturally rich area of Zurich West, the hotel is surrounded by clubs, businesses, and museums.",Deutsch | English | German | French | Italian,sports-themed accommodation | vibrant urban experience | wellness services | creative event spaces | cultural proximity | Spa,modern-design,true,'Check Availability' button visible | Direct booking benefits promotion visible | Buchen CTA,,native_direct,sauna | fitness facilities | outdoor pool | co-working space | restaurants and bars | Spa | Wellness | Restaurant | Bar | Meeting rooms,sports enthusiasts | business travelers | couples | event planners | Groups and events | Wellness travelers | Ski travelers,modern interior design | urban lifestyle | vibrant atmosphere | family-friendly features | Design-led | Boutique | Modern,upper_upscale,,0.68,
hotel-3100-kulmhotel-gornergrat,3100 Kulmhotel Gornergrat,Zermatt,3,false,albergo 3 stelle,Hotel,Classificato come albergo 3 stelle da HotellerieSuisse,"Gornergrat 3100m, 3920 Zermatt",22,Numero di camere/appartamenti **22**,+41279666400,gornergrat.kulm@zhg.swiss,mailto:gornergrat.kulm@zhg.swiss,,Swisstainable Livello III - leading,,Swisstainable Livello III - leading,Premium,verified-external,645,525.67,USD,View all 9 deals from $645,,,,https://gornergrat-kulm.ch/,https://www.myswitzerland.com/it/alloggi/3100-kulmhotel-gornergrat-1/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-3100-kulmhotel-gornergrat,https://www.tripadvisor.ca/Hotel_Review-g188098-d1963246-Reviews-3100_Kulmhotel_Gornergrat-Zermatt_Canton_of_Valais_Swiss_Alps.html,true,premium_price_category | high_adr,Premium price category | High ADR proxy,premium_or_luxury | high_adr,enriched,https://gornergrat-kulm.ch/,3100 Kulmhotel Gornergrat | Das höchste Hotel der Schweizer Alpen,Das 3100 Kulmhotel Gornergrat ist eine Destination mit Weltklasse für Bergsteiger und Skifahrer und bietet atemberaubende Aussicht auf das Matterhorn und die Milchstrasse.,"Das 3100 Kulmhotel Gornergrat ist das höchstgelegene Hotel der Schweizer Alpen, mit einer einmaligen Aussicht auf die umliegenden Berge. Das Hotel ist eine erstklassige Destination für Bergsteiger und Skifahrer und bietet Übernachtungen sowie gastronomische Erlebnisse.",DE,alpine wellness | mountain destination | culinary experiences | Spa | Restaurant | Bar,luxury-alpine,true,Direkt Buchen button visible | Booking links visible for various offers | SimpleBooking engine | Buchen CTA,,external_engine,restaurants | observatory | ski services | Spa | Restaurant | Bar | Pool | Suites | Swisstainable Livello III - leading,skiers | nature lovers | culinary enthusiasts | Ski travelers,mountain luxury | scenic views | eco-friendly tourism | Alpine aesthetic,upper_upscale,2870368,0.68,
hotel-63-riverside-apartments-basel,63 Riverside Apartments Basel,Basel,4,false,Serviced Apartments 4 stelle,Serviced Apartments,Classificato come Serviced Apartments 4 stelle da HotellerieSuisse,"Oberer Rheinweg 63, 4058 Basel",6,Numero di camere/appartamenti **6**,,info@riverside.basel.ch,mailto:info@riverside.basel.ch,,,,,Premium,fallback-star-rating,,,,,,,,https://www.riverside-basel.ch/riverside.php,,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-63-riverside-apartments-basel,,true,premium_price_category | premium_serviced_apartments,Premium price category | Premium serviced apartments signal,premium_or_luxury | premium_or_luxury,enriched,https://www.riverside-basel.ch/riverside.php,Riverside 63: Apartments in Basel am Rhein,"Entdecke die vollausgestatteten Riverside-Apartments an der vordersten Linie der Rheinpromenade im Herzen von Alt-Basel. Fühle Dich hier wie zuhause, ob für einen Kurz- oder Langzeitaufenthalt.","Riverside 63 offers fully equipped Riverside apartments located along the picturesque Rhine promenade in the heart of Old Basel. Guests can enjoy a cozy atmosphere with views of the river, complemented by well-appointed living spaces.",German | English,Riverside location | Fully equipped apartments | Cozy atmosphere | Suites,homey,,,,,Apartments with kitchen | Contact form for inquiries | Suites,Leisure travelers | Families | Business travelers,Warm hospitality | Personalized service | Modern furnishings | Design-led,upper_upscale,,0.68,
hotel-7-heavens,7 Heavens,Zermatt,5,false,Serviced Apartments 5 stelle,Serviced Apartments,Classificato come Serviced Apartments 5 stelle da HotellerieSuisse,"Wiestistrasse 14, 3920 Zermatt",25,Numero di camere/appartamenti **25**,+41277762158,info@hautemontagne.com,mailto:info@hautemontagne.com,,,,,Luxury,verified-external,10030,8174.45,USD,From USD 10030 per night,,,,https://hautemontagne.com/,,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7-heavens,https://hauteretreats.com/luxury-rentals/chalet-mckinley/,true,luxury_price_category | five_star_signal | premium_serviced_apartments | high_adr,Luxury price category | Five-star signal | Premium serviced apartments signal | High ADR proxy,premium_or_luxury | premium_or_luxury | premium_or_luxury | high_adr,enriched,https://hautemontagne.com/,Luxury Chalets in Switzerland & France | Haute Montagne,"Haute Montagne offers the finest collection of Alpine luxury chalets with the highest standard of service in Verbier, Zermatt, Val d'Isère and Méribel.","Haute Montagne offers a curated collection of luxury ski chalets located in premier destinations like Zermatt, Verbier, and Courchevel. With a focus on personalized service and high standards, they provide exceptional accommodations and experiences tailored to each guest's needs.",English | German | French | Italian | Spanish,luxury ski chalets | private residences | premium mountain locations | tailored service | exclusive experiences | Spa,luxury,true,Enquire Now button | Booking inquiries page accessible,,contact_only,ski-in/ski-out access | spa facilities | fine dining | family-friendly options | Spa | Restaurant | Bar | Ski services | Pool | Suites,luxury travelers | ski enthusiasts | families | couples | Ski travelers,luxury alpine living | refined elegance | modern design | personalized service | Boutique | Alpine aesthetic | Luxury cues,luxury,50722462,0.68,
hotel-7132-glenner,7132 Glenner,Vals,0,false,Swiss Lodge,Swiss Lodge,Classificato come Swiss Lodge da HotellerieSuisse,"Valléstrasse 132, 7132 Vals",12,Numero di camere/appartamenti **12**,+41819351115,hotel@glenner.ch,mailto:hotel@glenner.ch,,,,,Premium,verified-external,637,519.15,USD,View all 5 deals from $637,,,,https://glenner.ch/de,https://www.myswitzerland.com/it/alloggi/7132-glenner/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-glenner,https://www.tripadvisor.ca/Hotel_Review-g954021-d1233928-Reviews-7132_Glenner-Vals_Canton_of_Graubunden_Swiss_Alps.html,true,premium_price_category | high_adr,Premium price category | High ADR proxy,premium_or_luxury | high_adr,enriched,https://glenner.ch/de,7132 Glenner - Hotel in Vals mit gratis Zutritt zur 7132 Therme Vals,Das neue und trendige Alpine Chic Hotel in Vals für junge Leute. 12 gemütliche Zimmer erwarten dich. Buche jetzt dein Abenteuer. Alle Zimmerpreise inklusive Themeneintritt.,"7132 Glenner is a unique hotel located in Vals, providing a contrasting respite from everyday life. It offers a blend of nature, adventure, and memorable experiences, inviting guests to unwind and recharge.",German | English,Nature adventure | Family-friendly | Relaxation and wellness | Spa,inspirational-leisure,true,Link to booking page with 'Jetzt buchen' button | SimpleBooking engine | Buchen CTA,,external_engine,Free access to 7132 Therme | Dining services | Spa | Family-friendly,Families | Adventure seekers,Alpine charm | Relaxed atmosphere,upper_upscale,1546236,0.68,
hotel-7132-hotel,7132 Hotel,Vals,5,true,albergo 5 stelle Superior,Hotel,Classificato come albergo 5 stelle Superior da HotellerieSuisse,"Poststrasse 560, 7132 Vals",22,Numero di camere/appartamenti **22**,+41587132000,hotel@7132.com,mailto:hotel@7132.com,Excellent Cuisine | Wellness & Spa,Swisstainable Livello I - committed,Valutazione su Ginto,Excellent Cuisine | Swisstainable Livello I - committed | Valutazione su Ginto | Wellness & Spa,Luxury,fallback-star-rating,,,,,Für. Katrin Rüfenacht,General Manager,https://7132.com/media/rgkbegr4/2023_medienmitteilung_-7132-hotel_7132-silver-ein-fall-fuer-zwei_27032023.pdf,https://7132.com/de/hotels/7132-hotel,https://www.myswitzerland.com/it/alloggi/7132-hotel/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-hotel,,true,luxury_price_category | five_star_signal | four_star_superior_signal,Luxury price category | Five-star signal | Four-star superior signal,premium_or_luxury | premium_or_luxury | premium_or_luxury,enriched,https://7132.com/de/hotels/7132-hotel,7132 Hotel: Ultimative Erholung in unserem 5-Sterne-Hotel in Graubünden,"Geniessen Sie die eindrückliche, alpine Umgebung in unseren Penthouse Suiten, entworfen vom japanischen Stararchitekten Kengo Kuma. Alle Zimmer bieten eine atemberaubende Aussicht auf die Valser Bergwelt.","7132 Hotel 5ˢ features bright colors and natural materials, with rooms offering breathtaking views of the surrounding mountains. The top floor includes three penthouse suites designed by Japanese architect Kengo Kuma, showcasing fully glazed fronts that invite the beautiful scenery indoors.",German,natural materials | mountain views | architectural design | wellness packages | private transfer options | Spa,luxury-retreat,true,Visible direct booking options with clear CTAs on the site. | SimpleBooking engine,,embedded_engine,spa services | private helicopter transfer | wellness packages | Spa | Suites | Excellent Cuisine | Swisstainable Livello I - committed | Valutazione su Ginto | Wellness & Spa,couples | luxury travelers | wellness guests,contemporary luxury | minimalist elegance | architectural design | Design-led,luxury,,0.68,
hotel-7132-house-of-architects,7132 House of Architects,Vals,0,false,Swiss Lodge,Swiss Lodge,Classificato come Swiss Lodge da HotellerieSuisse,"Poststrasse 560, 7132 Vals",73,Numero di camere/appartamenti **73**,+41587132000,hotel@7132.com,mailto:hotel@7132.com,Design | Excellent Cuisine | Wellness & Spa,,Valutazione su Ginto,Design | Excellent Cuisine | Valutazione su Ginto | Wellness & Spa,Premium,verified-external,845,688.67,USD,View all 11 deals from $845,Für. Katrin Rüfenacht,General Manager,https://7132.com/media/rgkbegr4/2023_medienmitteilung_-7132-hotel_7132-silver-ein-fall-fuer-zwei_27032023.pdf,https://7132.com/de/hotels/7132-house-of-architects,https://www.myswitzerland.com/it/alloggi/7132-house-of-architects/,https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-house-of-architects,https://www.tripadvisor.com/Hotel_Review-g954021-d582835-Reviews-7132_Hotel-Vals_Canton_of_Graubunden_Swiss_Alps.html,true,premium_price_category | high_adr,Premium price category | High ADR proxy,premium_or_luxury | high_adr,enriched,https://7132.com/de/hotels/7132-house-of-architects,Erleben Sie Architektur und Design im House of Architects - 7132 Hotel,"Im House of Architects treffen renommierte Architektur und zeitgenössisches Design auf alpine Schönheit. Jedes Zimmer ein Meisterwerk, gestaltet von weltberühmten Architekten.","The House of Architects is a unique hotel designed by four renowned architects, featuring 73 rooms that showcase contemporary architecture. Each room is distinct and focuses on innovative design within a compact space of 20 square meters. The hotel offers private transfer options from anywhere in Switzerland, including limousine and helicopter services.",de,contemporary architecture | unique design | private luxury transfer | Spa | Design | Excellent Cuisine,design-led,true,Links to external booking engines are provided but direct booking is not clearly promoted. | SimpleBooking engine,Links to simplebooking.it for hotel reservations.,external_engine,private transfer | packages and experiences | Spa | Design | Excellent Cuisine | Valutazione su Ginto | Wellness & Spa,architecture enthusiasts | luxury travelers,contemporary design | architectural focus,upper_upscale,12477736,0.68,
