slug,name,location,starRating,isSuperior,starLabel,hotelType,classificationText,address,roomsCount,roomsLabel,phone,email,emailUrl,specializationTags,certificationTags,accessibilityTags,amenityTags,priceCategory,priceSourceType,priceNightly,priceNightlyChf,sourceCurrency,matchedText,gmName,gmTitle,gmSourceUrl,websiteUrl,mySwitzerlandUrl,detailUrl,externalPriceUrl
"hotel-22-summits-apartments","22 Summits Apartments","Zermatt","4","false","Serviced Apartments 4 stelle","Serviced Apartments","Classificato come Serviced Apartments 4 stelle da HotellerieSuisse","Oberdorfstrasse 130, 3920 Zermatt","20","Numero di camere/appartamenti **20**","+41279663510","apartments@22summits.ch","mailto:apartments@22summits.ch","","","","",,"verified-external","210","171.15","USD","22 Summits Apartments from $210. Zermatt Hotel Deals & Reviews - KAYAK",,,,"https://www.22summits-apartments.ch/","https://www.myswitzerland.com/it/alloggi/22-summits-apartments/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-22-summits-apartments","https://www.kayak.com/Zermatt-Hotels-Apparthotel-Casa-Vanessa.361648.ksp"
"hotel-22-summits-boutique-hotel","22 Summits Boutique Hotel","Zermatt","4","false","albergo 4 stelle","Hotel","Classificato come albergo 4 stelle da HotellerieSuisse","Zen Steckenstrasse 4, 3920 Zermatt","22","Numero di camere/appartamenti **22**","+41279663522","info@22summits.ch","mailto:info@22summits.ch","Biking | Snowsports | Wellness","","","Biking | Snowsports | Wellness","Premium","fallback-star-rating",,,,,,,,"http://www.22summits.ch/","https://www.myswitzerland.com/it/alloggi/22-summits-boutique-hotel/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-22-summits-boutique-hotel",
"hotel-25hours-hotel-langstrasse","25hours Hotel Langstrasse","Zürich","4","false","albergo 4 stelle","Hotel","Classificato come albergo 4 stelle da HotellerieSuisse","Langstrasse 150, 8004 Zürich","170","Numero di camere/appartamenti **170**","+41445765000","langstrasse@25hours.hotels.com","mailto:langstrasse@25hours.hotels.com","Design | Seminars","Swisstainable Livello III - leading","Valutazione su Ginto","Design | Seminars | Swisstainable Livello III - leading | Valutazione su Ginto",,"verified-external","303","246.94","USD","View all 10 deals from $303","Lukas Meier","General Manager","https://25hours-hotels.com/wp-content/uploads/sites/39/2025/07/25h_langstrasse_media_pressrelease_artist-in-residence_EN.pdf","https://25hours-hotels.com/de/zurich/langstrasse/","https://www.myswitzerland.com/it/alloggi/25hours-hotel-langstrasse/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-25hours-hotel-langstrasse","https://www.tripadvisor.ca/Hotel_Review-g188113-d12105934-Reviews-25hours_Hotel_Zurich_Langstrasse-Zurich.html"
"hotel-25hours-hotel-zuerich-west","25hours Hotel Zürich West","Zürich","4","false","albergo 4 stelle","Hotel","Classificato come albergo 4 stelle da HotellerieSuisse","Pfingstweidstrasse 102, 8005 Zürich","123","Numero di camere/appartamenti **123**","+41445772525","zuerichwest@25hours.hotels.com","mailto:zuerichwest@25hours.hotels.com","Design | Seminars","Swisstainable Livello III - leading","Valutazione su Ginto","Design | Seminars | Swisstainable Livello III - leading | Valutazione su Ginto","Premium","fallback-star-rating",,,,,"Lukas Meier","General Manager","https://25hours-hotels.com/wp-content/uploads/sites/39/2024/11/25h_global_media_pressrelease_redesig-zurichwest.pdf","https://www.25hours-hotels.com/hotels/zuerich/zuerich-west","https://www.myswitzerland.com/it/alloggi/25hours-hotel-zuerich-west/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-25hours-hotel-zuerich-west",
"hotel-3100-kulmhotel-gornergrat","3100 Kulmhotel Gornergrat","Zermatt","3","false","albergo 3 stelle","Hotel","Classificato come albergo 3 stelle da HotellerieSuisse","Gornergrat 3100m, 3920 Zermatt","22","Numero di camere/appartamenti **22**","+41279666400","gornergrat.kulm@zhg.swiss","mailto:gornergrat.kulm@zhg.swiss","","Swisstainable Livello III - leading","","Swisstainable Livello III - leading","Premium","verified-external","645","525.67","USD","View all 9 deals from $645",,,,"https://gornergrat-kulm.ch/","https://www.myswitzerland.com/it/alloggi/3100-kulmhotel-gornergrat-1/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-3100-kulmhotel-gornergrat","https://www.tripadvisor.ca/Hotel_Review-g188098-d1963246-Reviews-3100_Kulmhotel_Gornergrat-Zermatt_Canton_of_Valais_Swiss_Alps.html"
"hotel-63-riverside-apartments-basel","63 Riverside Apartments Basel","Basel","4","false","Serviced Apartments 4 stelle","Serviced Apartments","Classificato come Serviced Apartments 4 stelle da HotellerieSuisse","Oberer Rheinweg 63, 4058 Basel","6","Numero di camere/appartamenti **6**",,"info@riverside.basel.ch","mailto:info@riverside.basel.ch","","","","","Premium","fallback-star-rating",,,,,,,,"https://www.riverside-basel.ch/riverside.php",,"https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-63-riverside-apartments-basel",
"hotel-7-heavens","7 Heavens","Zermatt","5","false","Serviced Apartments 5 stelle","Serviced Apartments","Classificato come Serviced Apartments 5 stelle da HotellerieSuisse","Wiestistrasse 14, 3920 Zermatt","25","Numero di camere/appartamenti **25**","+41277762158","info@hautemontagne.com","mailto:info@hautemontagne.com","","","","","Luxury","verified-external","10030","8174.45","USD","From USD 10030 per night",,,,"https://hautemontagne.com/",,"https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7-heavens","https://hauteretreats.com/luxury-rentals/chalet-mckinley/"
"hotel-7132-glenner","7132 Glenner","Vals","0","false","Swiss Lodge","Swiss Lodge","Classificato come Swiss Lodge da HotellerieSuisse","Valléstrasse 132, 7132 Vals","12","Numero di camere/appartamenti **12**","+41819351115","hotel@glenner.ch","mailto:hotel@glenner.ch","","","","","Premium","verified-external","637","519.15","USD","View all 5 deals from $637",,,,"https://glenner.ch/de","https://www.myswitzerland.com/it/alloggi/7132-glenner/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-glenner","https://www.tripadvisor.ca/Hotel_Review-g954021-d1233928-Reviews-7132_Glenner-Vals_Canton_of_Graubunden_Swiss_Alps.html"
"hotel-7132-hotel","7132 Hotel","Vals","5","true","albergo 5 stelle Superior","Hotel","Classificato come albergo 5 stelle Superior da HotellerieSuisse","Poststrasse 560, 7132 Vals","22","Numero di camere/appartamenti **22**","+41587132000","hotel@7132.com","mailto:hotel@7132.com","Excellent Cuisine | Wellness & Spa","Swisstainable Livello I - committed","Valutazione su Ginto","Excellent Cuisine | Swisstainable Livello I - committed | Valutazione su Ginto | Wellness & Spa","Luxury","fallback-star-rating",,,,,"Für. Katrin Rüfenacht","General Manager","https://7132.com/media/rgkbegr4/2023_medienmitteilung_-7132-hotel_7132-silver-ein-fall-fuer-zwei_27032023.pdf","https://7132.com/de/hotels/7132-hotel","https://www.myswitzerland.com/it/alloggi/7132-hotel/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-hotel",
"hotel-7132-house-of-architects","7132 House of Architects","Vals","0","false","Swiss Lodge","Swiss Lodge","Classificato come Swiss Lodge da HotellerieSuisse","Poststrasse 560, 7132 Vals","73","Numero di camere/appartamenti **73**","+41587132000","hotel@7132.com","mailto:hotel@7132.com","Design | Excellent Cuisine | Wellness & Spa","","Valutazione su Ginto","Design | Excellent Cuisine | Valutazione su Ginto | Wellness & Spa","Premium","verified-external","845","688.67","USD","View all 11 deals from $845","Für. Katrin Rüfenacht","General Manager","https://7132.com/media/rgkbegr4/2023_medienmitteilung_-7132-hotel_7132-silver-ein-fall-fuer-zwei_27032023.pdf","https://7132.com/de/hotels/7132-house-of-architects","https://www.myswitzerland.com/it/alloggi/7132-house-of-architects/","https://www.hotelleriesuisse.ch/it/associazione-e-sede/soci/elenco-dei-soci/hotel-7132-house-of-architects","https://www.tripadvisor.com/Hotel_Review-g954021-d582835-Reviews-7132_Hotel-Vals_Canton_of_Graubunden_Swiss_Alps.html"
